stock,pair,spread_type,beta_return,alpha_price,beta_price,train_adf_p,train_half_life_minutes,ou_phi,ou_mu,ou_sigma_eq,ou_half_life_minutes,train_spread_std_bps
MU,XLK-MU,price_regression_residual,0.17475494037686523,11.078671566140265,-1.0377703669994873,0.40195913257257443,2742.148957755879,0.9997472567707238,-0.026491228249145352,0.2369147542084592,2742.1489577631073,2490.782868185148
MSFT,XLK-MSFT,price_regression_residual,0.12458377804166683,-26.054336810548687,5.06602325162346,0.42573240392683276,1532.977623140663,0.9995479448050001,0.022672846270487008,0.27670259347507126,1532.9776231451817,2690.710116949979
APH,XLK-APH,price_regression_residual,0.173491536842839,12.106336000953707,-1.3907364281518495,0.46971733643040664,3924.3438082306325,0.9998233880608851,-0.1765430775840366,0.28414073845420706,3924.343808225698,3227.032769921245
INTC,XLK-INTC,cum_residual_return,0.21251351062731796,10.017831039115352,-1.2951271835410039,0.4848391550693524,1744.202851364301,0.9996026783984883,-0.012821908960933211,0.01888154991430137,1744.2028513647886,170.46518671508684
AVGO,XLK-AVGO,price_regression_residual,0.18151283803926516,-5.548782286602064,1.8382487720976255,0.490701221307751,3542.612563923615,0.9998043592512796,-0.1216273408163667,0.28591919961918477,3542.612563923615,3108.236877570551
ANET,XLK-ANET,cum_residual_return,0.15129019540537578,4.740033773094021,0.10148833790609157,0.49328719762739803,1535.4900110008027,0.999548684296398,-0.014309936423284481,0.018994562176111264,1535.4900109996695,173.5829738730775
CSCO,XLK-CSCO,price_regression_residual,0.3165553073334239,19.930776997172998,-3.391266071736986,0.5278563014023351,3733.161288788317,0.9998143442563631,-0.13077738991964796,0.2917459831179326,3733.161288812876,3145.014208981702
PLTR,XLK-PLTR,price_regression_residual,0.21118073685783995,7.689939205644624,-0.4745342573093263,0.5487040767444715,4911.250373093193,0.9998588753949206,-0.28022527501115535,0.2840422000525287,4911.250373089329,3289.2113090383705
AAPL,XLK-AAPL,cum_residual_return,0.14843544609461964,-17.46793294486632,4.05919340457234,0.5529190317205718,1877.8637951216037,0.999630953388268,-0.03961529946726488,0.021556006590176445,1877.8637951176486,192.40331171392728
IBM,XLK-IBM,cum_residual_return,0.14131824567181073,-5.8086182666321875,1.932900774468457,0.5657540609966067,1900.0501779513258,0.9996352618618647,-0.04029708370427635,0.021799640938289767,1900.0501779472766,201.70143048503584
AAPL,XLK-AAPL,direct_log_price,0.14843544609461964,-17.46793294486632,4.05919340457234,0.5746479226711283,5256.156938659171,0.9998681353150545,-0.7248756829410646,0.2842333722683006,5256.156938641468,3281.456238812932
AVGO,XLK-AVGO,direct_log_price,0.18151283803926516,-5.548782286602064,1.8382487720976255,0.5748898354876381,5212.930793452565,0.999867041952549,-0.7100135426246249,0.2843100318234563,5212.930793426445,3267.6566608092853
MSFT,XLK-MSFT,direct_log_price,0.12458377804166683,-26.054336810548687,5.06602325162346,0.5785272766420286,5277.22341162851,0.9998686616792375,-0.7099120016206102,0.28483992178106354,5277.223411615126,3276.292658140562
ORCL,XLK-ORCL,direct_log_price,0.13645728829860154,-6.8459752997311085,2.276107286849712,0.5808966880180276,5175.979969315039,0.9998660928413662,-0.6670132245862382,0.2824732125174328,5175.979969336498,3206.4767242482208
QCOM,XLK-QCOM,direct_log_price,0.1627429976048066,2.7634948075232786,0.4813826966854131,0.5825855620586026,5342.1498243068045,0.99987025781059,-0.708491534895662,0.28674579435237485,5342.149824379951,3298.513484320875
CSCO,XLK-CSCO,direct_log_price,0.3165553073334239,19.930776997172998,-3.391266071736986,0.5834953037577881,5410.180105336833,0.999871889148554,-0.7495225202714254,0.2883482821751555,5410.180105360278,3333.479654201971
