pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,sample,execution_model,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,3.5,test,actual_bidask_fills,415.57836271071125,1982.2817977982866,-1566.7034350875751,37,74.0,0.35135135135135137,78.5945945945946,-1596.5509132158484,-1.5944266929513675
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,4.0,validation,actual_bidask_fills,708.9679196126131,442.1266868801954,266.84123273241767,14,28.0,0.7142857142857143,102.35714285714286,-208.91951285366696,0.9294139515709461
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,4.0,test,actual_bidask_fills,458.1137236788546,1920.5850490807918,-1462.4713254019373,32,64.0,0.40625,91.03125,-1492.3188035302105,-1.4974900571396033
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,4.5,validation,actual_bidask_fills,708.9679196126131,442.1266868801954,266.84123273241767,14,28.0,0.7142857142857143,102.35714285714286,-208.91951285366696,0.9294139515709461
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,4.5,test,actual_bidask_fills,909.0484577721191,1453.1121026971582,-544.0636449250392,31,62.0,0.3870967741935484,94.0,-573.9111230533123,-1.4990159821581557
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,5.0,validation,actual_bidask_fills,708.9679196126131,442.1266868801954,266.84123273241767,14,28.0,0.7142857142857143,102.35714285714286,-208.91951285366696,0.9294139515709461
XLK-AMD,AMD,0.038143897640087764,2.0,1.25,240,5.0,test,actual_bidask_fills,909.0484577721191,1453.1121026971582,-544.0636449250392,31,62.0,0.3870967741935484,94.0,-573.9111230533123,-1.4990159821581557
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,-1.0,validation,actual_bidask_fills,377.57081814690173,273.4539711501238,104.11684699677794,6,12.0,0.5,186.33333333333334,-119.9138279428702,0.5116115865593361
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,-1.0,test,actual_bidask_fills,752.1199503805765,1153.1554518372022,-401.0355014566258,19,38.0,0.42105263157894735,123.89473684210526,-468.6390613910518,-1.2474839409931275
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,3.5,validation,actual_bidask_fills,353.0696293170177,278.88222855665384,74.1874007603638,7,14.0,0.42857142857142855,159.57142857142858,-149.84327417928432,0.34689421734229753
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,3.5,test,actual_bidask_fills,281.18667452981856,1658.140755268498,-1376.9540807386793,25,50.0,0.36,93.84,-1376.9540807386793,-1.470892356258126
XLK-AVGO,AVGO,0.03951067233953714,2.25,1.25,-1,4.0,validation,actual_bidask_fills,377.57081814690173,273.4539711501238,104.11684699677794,6,12.0,0.5,186.33333333333334,-119.9138279428702,0.5116115865593361
