subset,k,betas,sum_beta,train_adf_p,train_half_life_minutes,train_std_bps,train_avg_oneway_cost_bps,score
MSFT AVGO CSCO LRCX ORCL,5,MSFT:0.0643 AVGO:0.0942 CSCO:0.2232 LRCX:0.1154 ORCL:0.0747,0.5719092762032902,0.9714038657056,11565.299597327681,302.76483492873615,4.73595240468008,6.848772712463043
AAPL AVGO AMD CSCO AMAT,5,AAPL:0.0821 AVGO:0.0927 AMD:0.0984 CSCO:0.2175 AMAT:0.0767,0.5674344369155895,0.9635885222120705,11585.789497936032,309.84503503079475,4.757723476263454,6.851637740705356
NVDA AAPL MSFT MU AMAT,5,NVDA:0.2430 AAPL:0.0785 MSFT:0.0593 MU:0.0851 AMAT:0.0641,0.529938055557949,0.9341623785450854,11678.682165229,319.8157228911192,4.2792504746863855,6.8590884706533135
MSFT AVGO MU PLTR LRCX,5,MSFT:0.0625 AVGO:0.0811 MU:0.0886 PLTR:0.1044 LRCX:0.0966,0.4331528540594732,0.9275694873905858,11680.771445595283,333.7653259019583,4.584611631069908,6.859647442809625
AVGO AMD INTC LRCX AMAT,5,AVGO:0.0860 AMD:0.0828 INTC:0.1095 LRCX:0.0839 AMAT:0.0573,0.419575905553265,0.9070263918514232,11723.893418186319,336.55947430331054,4.553067342997897,6.860034447804542
MU AMAT ORCL,3,MU:0.1238 AMAT:0.0954 ORCL:0.0910,0.31015012714847867,0.9356985521123988,11678.637910935511,336.6273518427678,4.378344311581715,6.862584393811789
AAPL AVGO MU AMD INTC,5,AAPL:0.0833 AVGO:0.0844 MU:0.0835 AMD:0.0813 INTC:0.1069,0.43937776747983387,0.915110893738438,11737.546288058396,326.9878298337195,4.1954472759832315,6.867792983287301
AAPL MSFT AMD INTC,4,AAPL:0.0904 MSFT:0.0703 AMD:0.1030 INTC:0.1362,0.3999147883441597,0.8681039859948898,11855.812491186007,348.1697633215882,3.6217222898414043,6.868444677384722
NVDA INTC CSCO PLTR ORCL,5,NVDA:0.2051 INTC:0.0920 CSCO:0.1670 PLTR:0.0750 ORCL:0.0519,0.591064829862074,0.9461494451514907,11708.8892009297,290.7390792872461,3.485326795183837,6.870300581520018
MSFT AVGO AMD CSCO LRCX,5,MSFT:0.0622 AVGO:0.0884 AMD:0.0932 CSCO:0.2135 LRCX:0.1018,0.558986169334422,0.9559227113125587,11653.5989032883,316.9962848109124,4.592972437573172,6.874581611708172
NVDA MSFT CSCO PLTR,4,NVDA:0.2387 MSFT:0.0541 CSCO:0.1974 PLTR:0.0868,0.5769681364958684,0.9396472793571279,11736.67595184672,300.1248211128502,3.353624951129113,6.87505775430307
NVDA AMD INTC LRCX AMAT,5,NVDA:0.2160 AMD:0.0612 INTC:0.0893 LRCX:0.0696 AMAT:0.0468,0.48283326035809615,0.8854414978065679,11825.427959281904,331.4116704123127,3.8758139785527486,6.8756717570185755
NVDA MSFT AVGO MU CSCO,5,NVDA:0.2253 MSFT:0.0541 AVGO:0.0650 MU:0.0773 CSCO:0.1867,0.6084735516973072,0.9573793496659996,11738.543279515961,300.41129249219557,3.994272196054235,6.906536433345066
AVGO MU INTC LRCX ORCL,5,AVGO:0.0825 MU:0.0804 INTC:0.1092 LRCX:0.0865 ORCL:0.0696,0.42810836068584734,0.9211114170424242,11800.481796973534,329.59059577927434,4.439149850856063,6.910135312546313
NVDA AAPL MSFT MU LRCX,5,NVDA:0.2360 AAPL:0.0768 MSFT:0.0581 MU:0.0788 LRCX:0.0841,0.5338435666478781,0.9264384179796646,11838.669352316476,328.1856066068427,4.065983891267969,6.927092771963261
AVGO MU INTC AMAT ORCL,5,AVGO:0.0853 MU:0.0862 INTC:0.1145 AMAT:0.0668 ORCL:0.0713,0.4240811265286847,0.9426693865435701,11799.770594261912,319.794057404369,4.6866518921393014,6.936287721517313
MSFT AVGO AMD CSCO AMAT,5,MSFT:0.0637 AVGO:0.0927 AMD:0.0991 CSCO:0.2226 AMAT:0.0779,0.5560136376164933,0.9644053674114252,11767.981736806672,313.2144545338133,4.868886509668454,6.94577396600813
MSFT MU LRCX ORCL,4,MSFT:0.0738 MU:0.1106 LRCX:0.1175 ORCL:0.0837,0.38553977180810506,0.9276742503013775,11891.436575579823,343.9553998697854,4.448401109688058,6.96236056028505
AAPL MSFT AMD INTC PLTR,5,AAPL:0.0804 MSFT:0.0599 AMD:0.0851 INTC:0.1174 PLTR:0.1043,0.447072685277884,0.8918364957894784,11989.607634433942,333.2434046001589,3.8147897841121456,6.962936108688692
AAPL MSFT AVGO INTC,4,AAPL:0.0925 MSFT:0.0709 AVGO:0.1086 INTC:0.1479,0.4198715923795064,0.9263557647042215,11949.144968148332,319.8858810149121,3.9052761560329636,6.979033771899047
NVDA AAPL CSCO PLTR,4,NVDA:0.2369 AAPL:0.0720 CSCO:0.1927 PLTR:0.0866,0.5882278133281658,0.9509019089191111,11941.58409003949,299.95869806316813,3.278548076986848,6.987264915478593
NVDA INTC CSCO ORCL,4,NVDA:0.2336 INTC:0.1012 CSCO:0.1856 ORCL:0.0597,0.5801124432391892,0.9503434035857563,11981.251387460998,296.4150276155509,3.3269283334191897,7.007507663984639
AAPL AVGO MU PLTR AMAT,5,AAPL:0.0856 AVGO:0.0842 MU:0.0948 PLTR:0.1070 AMAT:0.0738,0.4452950737532767,0.9531841168101252,11982.98969219403,320.4054633877753,4.766751329136015,7.040013989489862
AAPL MU LRCX ORCL,4,AAPL:0.0960 MU:0.1094 LRCX:0.1153 ORCL:0.0844,0.4049943827283418,0.9350110059033903,12061.191101681105,339.7026558402716,4.336224314719026,7.052331043038323
AAPL AVGO MU PLTR LRCX,5,AAPL:0.0836 AVGO:0.0809 MU:0.0876 PLTR:0.1038 LRCX:0.0948,0.45065042416590634,0.9369323465073766,12090.426275875925,331.16547073407264,4.4907995644802385,7.071961475734944
NVDA AAPL AVGO MU CSCO,5,NVDA:0.2236 AAPL:0.0713 AVGO:0.0651 MU:0.0767 CSCO:0.1823,0.6190830819500261,0.9639177738008186,12095.740282345221,298.78563942669194,3.9143425912962844,7.090074766799355
MSFT MU AMAT ORCL,4,MSFT:0.0759 MU:0.1205 AMAT:0.0924 ORCL:0.0870,0.37581797221575197,0.9485948485795956,12197.477225757228,337.0442147668355,4.785884964524006,7.14305116074869
NVDA AAPL MSFT CSCO PLTR,5,NVDA:0.2324 AAPL:0.0697 MSFT:0.0513 CSCO:0.1872 PLTR:0.0843,0.6249325492276706,0.954613605823649,12241.792553109624,299.6972277973296,3.5738247503898086,7.146986377386257
MU AMD CSCO ORCL,4,MU:0.1003 AMD:0.0959 CSCO:0.2211 ORCL:0.0736,0.49084674426645897,0.9498894976969722,12237.525847641506,322.7607482057091,4.026901988968669,7.149190461297098
AVGO MU LRCX,3,AVGO:0.1016 MU:0.1079 LRCX:0.1147,0.32413621014272753,0.9186049930924736,12307.034897041742,351.1662268253026,4.136304890222534,7.154848539417795
NVDA MU AMD CSCO PLTR,5,NVDA:0.1966 MU:0.0677 AMD:0.0597 CSCO:0.1719 PLTR:0.0738,0.5697617763885338,0.9305626091995877,12305.362186265373,314.8843168789892,3.665448252819815,7.156552667388671
AAPL MU AMAT ORCL,4,AAPL:0.0990 MU:0.1190 AMAT:0.0906 ORCL:0.0876,0.39621864363046716,0.951898434833278,12283.989034850696,333.26320631110235,4.664388643663825,7.187180725131903
AMD CSCO PLTR,3,AMD:0.1027 CSCO:0.2315 PLTR:0.1142,0.4484393549478354,0.9241765893117383,12410.225414366385,331.8833758887243,3.3451926452335816,7.196193149399602
NVDA MSFT INTC CSCO ORCL,5,NVDA:0.2288 MSFT:0.0526 INTC:0.0994 CSCO:0.1798 ORCL:0.0577,0.6183420540891272,0.9587700143685355,12345.442135984364,296.97531536715513,3.628655021929145,7.2040641827993
NVDA MU AMD CSCO,4,NVDA:0.2229 MU:0.0756 AMD:0.0678 CSCO:0.1902,0.5565478381954888,0.9322082476208068,12423.132276215565,320.04845640221095,3.5290000556111836,7.214354386840813
AVGO MU AMD CSCO PLTR,5,AVGO:0.0746 MU:0.0821 AMD:0.0788 CSCO:0.1909 PLTR:0.0928,0.5193540991880501,0.9504275647415323,12372.969391102608,316.60723658520635,4.214112515427175,7.2211945106013795
NVDA CSCO,2,NVDA:0.2838 CSCO:0.2312,0.5149846273468812,0.9346377673105386,12484.492528558296,318.1545014066113,2.766513789336354,7.232214307376414
PLTR LRCX,2,PLTR:0.1352 LRCX:0.1398,0.2749780111238296,0.9070606402036773,12520.949281823183,358.1401555884893,3.324170011689644,7.2340186813490615
MU AMD INTC AMAT ORCL,5,MU:0.0838 AMD:0.0824 INTC:0.1056 AMAT:0.0654 ORCL:0.0716,0.40880345118603134,0.9179275696054383,12467.829546773333,342.24227299265624,4.453815943118561,7.240918661854477
NVDA AVGO CSCO LRCX AMAT,5,NVDA:0.2285 AVGO:0.0660 CSCO:0.1869 LRCX:0.0775 AMAT:0.0503,0.6092124934685086,0.9542414116641026,12418.91663332023,312.9536093671084,4.2370506231436,7.24844074078709
NVDA AAPL INTC CSCO ORCL,5,NVDA:0.2273 AAPL:0.0694 INTC:0.0981 CSCO:0.1756 ORCL:0.0584,0.628853677012591,0.9618795047650279,12441.776919798493,295.1371942344795,3.5569903955862325,7.253907772575999
NVDA MU CSCO LRCX ORCL,5,NVDA:0.2207 MU:0.0699 CSCO:0.1786 LRCX:0.0750 ORCL:0.0571,0.6012201516378478,0.9445048826715297,12494.56628769051,318.95710567862625,3.9852080586336505,7.271492187689458
AAPL MSFT MU LRCX ORCL,5,AAPL:0.0921 MSFT:0.0691 MU:0.1068 LRCX:0.1122 ORCL:0.0810,0.4611716746687382,0.946448458170142,12463.765131562273,339.44887098046667,4.705682995921694,7.272444683869713
CSCO PLTR ORCL,3,CSCO:0.2463 PLTR:0.1239 ORCL:0.0797,0.4498817289248369,0.946483265764738,12519.2420983726,314.8767286463233,3.358164800242923,7.273267610955897
MU AMD PLTR AMAT,4,MU:0.0932 AMD:0.0885 PLTR:0.1075 AMAT:0.0741,0.36331541557272273,0.9113783957217623,12573.584385719701,352.4239740262592,4.288737572161434,7.283945340024841
AVGO MU AMAT,3,AVGO:0.1064 MU:0.1173 AMAT:0.0894,0.3131234181697249,0.9407105608794558,12523.018924338321,342.0323677680461,4.457014104582853,7.291360305140274
NVDA INTC AMAT,3,NVDA:0.2537 INTC:0.1121 AMAT:0.0667,0.4324786938343282,0.9019048077318764,12658.731128829226,334.2254154544984,3.3614535314386815,7.298499442775262
NVDA INTC PLTR AMAT,4,NVDA:0.2184 INTC:0.1000 PLTR:0.0850 AMAT:0.0601,0.4636088110405364,0.9053285800350277,12664.675056282904,327.4307296041952,3.5615576962938604,7.308897262102358
MSFT AVGO MU LRCX,4,MSFT:0.0732 AVGO:0.0977 MU:0.1051 LRCX:0.1114,0.3873754262779672,0.9317135001950232,12615.648027296373,350.09739508698505,4.538625170460564,7.330310017252422
AAPL MU AMD CSCO ORCL,5,AAPL:0.0819 MU:0.0975 AMD:0.0923 CSCO:0.2080 ORCL:0.0717,0.551426443632746,0.9606214504359553,12584.052688087992,318.991208774704,4.276618461415335,7.338180163708257
NVDA MSFT MU AMD CSCO,5,NVDA:0.2182 MSFT:0.0536 MU:0.0745 AMD:0.0660 CSCO:0.1840,0.5963262765821457,0.941965949791096,12666.103469383299,319.61565621496186,3.837307262635307,7.351763829735452
NVDA MU PLTR LRCX AMAT,5,NVDA:0.2095 MU:0.0682 PLTR:0.0821 LRCX:0.0716 AMAT:0.0491,0.48038641124195225,0.9006554814244432,12739.14654948425,344.44330634060054,4.0892364300588495,7.3520134847677445
INTC PLTR LRCX ORCL,4,INTC:0.1189 PLTR:0.1077 LRCX:0.1021 ORCL:0.0701,0.3987888651701236,0.9247006737046647,12721.798831148937,336.9594905023418,3.8186656168658653,7.361973401616451
MSFT MU AMD CSCO ORCL,5,MSFT:0.0624 MU:0.0984 AMD:0.0932 CSCO:0.2134 ORCL:0.0709,0.5382194027931124,0.958832216053296,12642.943634810803,322.894850133607,4.367945960218003,7.367662952663058
NVDA MU LRCX AMAT,4,NVDA:0.2418 MU:0.0778 LRCX:0.0793 AMAT:0.0539,0.4528322033388854,0.9035731436005014,12774.345530346669,350.5308452550927,3.962651075968605,7.3699989302932085
PLTR AMAT,2,PLTR:0.1429 AMAT:0.1108,0.2537645307722802,0.9092350933685671,12780.283614105516,357.91366214879594,3.6421281496359215,7.372219463414043
NVDA INTC LRCX,3,NVDA:0.2455 INTC:0.1055 LRCX:0.0882,0.4392469663374451,0.9039182243548793,12814.138641845746,341.402304336418,3.1833623291917306,7.3746547918615875
INTC PLTR AMAT ORCL,4,INTC:0.1268 PLTR:0.1116 AMAT:0.0796 ORCL:0.0726,0.3906386935090353,0.9311965310627768,12730.096651167505,329.526365203397,4.070229372166154,7.377649444089853
AVGO CSCO AMAT ORCL,4,AVGO:0.1032 CSCO:0.2435 AMAT:0.0909 ORCL:0.0811,0.5187002942923626,0.974419943354827,12630.845801673957,310.55819273297345,4.704855680949187,7.38393995781079
MU AMD INTC LRCX ORCL,5,MU:0.0785 AMD:0.0790 INTC:0.1011 LRCX:0.0836 ORCL:0.0700,0.41219552453343,0.9017994761497334,12799.449974286112,352.91349126471624,4.210459712585159,7.385733657544493
AAPL CSCO PLTR ORCL,4,AAPL:0.0871 CSCO:0.2316 PLTR:0.1194 ORCL:0.0775,0.5155456359666994,0.9565771224504102,12717.653650894646,311.5172304181978,3.645497606794959,7.388313900033633
AAPL AVGO CSCO AMAT ORCL,5,AAPL:0.0875 AVGO:0.0996 CSCO:0.2288 AMAT:0.0873 ORCL:0.0788,0.5820614376680826,0.9804242863677621,12625.837299619345,303.8837926416594,4.942420046703891,7.392191337111513
NVDA AVGO INTC CSCO PLTR,5,NVDA:0.1985 AVGO:0.0605 INTC:0.0908 CSCO:0.1658 PLTR:0.0744,0.5899366133856829,0.9489907353549626,12763.893462579868,300.2011633706207,3.5698500799590787,7.402334468244079
AAPL AMD CSCO PLTR,4,AAPL:0.0814 AMD:0.0991 CSCO:0.2185 PLTR:0.1104,0.5094195580090526,0.9352899685024827,12798.734871777659,330.69333220924653,3.609489143294345,7.406847187257199
NVDA INTC PLTR LRCX,4,NVDA:0.2121 INTC:0.0945 PLTR:0.0827 LRCX:0.0792,0.4685356971757961,0.8949477064662157,12908.770854352386,336.03515265718113,3.391483347520026,7.417162800592809
NVDA MSFT CSCO,3,NVDA:0.2769 MSFT:0.0613 CSCO:0.2233,0.5614419221311799,0.9485976209681205,12811.90274281155,316.90950148260794,3.136815371747603,7.417285299808848
MU AMD AMAT,3,MU:0.1109 AMD:0.1071 AMAT:0.0851,0.30310402853409785,0.90648126874593,12869.642895096376,367.6860258266976,4.17124011624908,7.4247275186190995
NVDA MU CSCO AMAT ORCL,5,NVDA:0.2264 MU:0.0752 CSCO:0.1839 AMAT:0.0566 ORCL:0.0585,0.6005887134698735,0.9600443101808827,12773.632138083638,313.19007244176083,4.174281907667776,7.430346017376057
MSFT AMD CSCO PLTR,4,MSFT:0.0620 AMD:0.1000 CSCO:0.2238 PLTR:0.1108,0.496588167835169,0.9372753332708282,12846.654027264198,331.2218001876075,3.7019706653850455,7.434641760210629
AVGO INTC CSCO PLTR ORCL,5,AVGO:0.0805 INTC:0.1138 CSCO:0.1877 PLTR:0.0964 ORCL:0.0613,0.5398138000292703,0.9670609788522772,12820.409387716243,294.5561877946356,3.9891277887237813,7.457048228484875
AAPL MSFT MU AMAT ORCL,5,AAPL:0.0949 MSFT:0.0711 MU:0.1162 AMAT:0.0879 ORCL:0.0841,0.4541139881505605,0.9623045674377089,12802.566988227385,333.39065611492566,5.033976393525173,7.464267589421905
