symbol,time_bucket,spread_bucket,imb_bucket,obs,buy_bid_fill_prob,sell_ask_fill_prob,buy_passive_markout_cost_bps_median_if_filled,sell_passive_markout_cost_bps_median_if_filled,buy_passive_markout_cost_bps_p75_if_filled,sell_passive_markout_cost_bps_p75_if_filled
ADI,open30,s_q4,bid_heavy,193,0.23316062176165803,0.44559585492227977,4.233079891244111,5.703667454284567,38.32739258748227,36.582738263543675
ADI,mid_morning,s_q1,ask_heavy,281,0.5800711743772242,0.5907473309608541,3.3904354032843425,10.829979652220748,22.10370216242618,28.86863127584035
ADI,mid_morning,s_q1,balanced,646,0.5804953560371517,0.6176470588235294,4.025494800402702,5.145675857907727,22.80872073576723,24.592664536462028
ADI,mid_morning,s_q1,bid_heavy,319,0.5893416927899686,0.6081504702194357,2.941207459413776,3.074181995437548,24.503129240955115,20.057166533081563
ADI,mid_morning,s_q2,ask_heavy,294,0.46598639455782315,0.4523809523809524,3.9411256461170954,4.198288390117728,23.901191183692106,24.734160624061037
ADI,mid_morning,s_q2,balanced,966,0.47929606625258797,0.44824016563146996,2.141297055004082,7.55882739581837,18.070419183485345,25.645010879703
ADI,mid_morning,s_q2,bid_heavy,392,0.48214285714285715,0.5,3.451563064988599,4.291608967260263,22.611830247419228,24.120818358814823
ADI,mid_morning,s_q3,ask_heavy,314,0.39490445859872614,0.267515923566879,3.0194355364918417,7.81659807782613,23.496081024060697,27.08164709964738
ADI,mid_morning,s_q3,balanced,1094,0.3126142595978062,0.33180987202925044,1.7774383330341244,5.0135365486825805,22.258636218857696,26.500835243173707
ADI,mid_morning,s_q3,bid_heavy,320,0.29375,0.340625,7.230152352235729,0.8880008880013422,27.74427164829638,18.479821456495205
ADI,mid_morning,s_q4,ask_heavy,356,0.23876404494382023,0.21067415730337077,7.112881428268208,14.799660478377408,33.33855063390372,44.361669582432256
ADI,mid_morning,s_q4,balanced,1984,0.2157258064516129,0.2086693548387097,3.9306987551499892,6.923849682371502,25.373490650549357,25.973911004246148
ADI,mid_morning,s_q4,bid_heavy,317,0.21451104100946372,0.29337539432176657,-1.9187670922905449,8.903057194962658,32.65039108867271,30.240678388827387
ADI,midday,s_q1,ask_heavy,791,0.5448798988621998,0.5309734513274337,2.8682059371877573,3.1054077976407113,15.94382584554615,15.492789143327148
ADI,midday,s_q1,balanced,1940,0.5252577319587629,0.5360824742268041,2.0543020508802377,2.9948355191957687,13.2228672851399,15.621742312265292
ADI,midday,s_q1,bid_heavy,886,0.5316027088036117,0.5451467268623025,1.4247269273376308,3.586337488701406,15.220696283213258,13.544425720265494
ADI,midday,s_q2,ask_heavy,696,0.41235632183908044,0.29454022988505746,4.408606738058493,4.270395090628784,17.91414171075247,17.114635458263997
ADI,midday,s_q2,balanced,2532,0.35347551342812006,0.33688783570300157,3.4510128722787985,3.4339418037220475,16.62856178187372,16.122403818798336
ADI,midday,s_q2,bid_heavy,665,0.3022556390977444,0.41654135338345866,-0.32498659430268945,2.316387670641963,12.867875970279451,15.45791424033919
ADI,midday,s_q3,ask_heavy,713,0.2776998597475456,0.14305750350631136,3.2611308618090673,2.078993858733593,21.53806048266402,16.679282655939094
ADI,midday,s_q3,balanced,2779,0.23281756027347966,0.20978769341489745,2.150735858911518,3.338169399257783,15.982669161891597,16.833257798602954
ADI,midday,s_q3,bid_heavy,686,0.20262390670553937,0.260932944606414,3.3191960169638577,1.390756107735975,15.381844801516696,13.251281473820136
ADI,midday,s_q4,ask_heavy,397,0.18639798488664988,0.07808564231738035,5.178375259902273,-3.369356328150121,16.077035533235644,14.42449416016807
ADI,midday,s_q4,balanced,1955,0.14373401534526853,0.119693094629156,2.1846968411863257,3.772113952070004,21.755462342703098,21.072312731557805
ADI,midday,s_q4,bid_heavy,342,0.14619883040935672,0.1695906432748538,1.0011215496778423,2.5805014911694624,13.289761768469544,26.828815551030903
ADI,close90,s_q1,ask_heavy,607,0.57166392092257,0.586490939044481,5.750862629394864,6.801429882002308,23.396412751610796,30.779405779405216
ADI,close90,s_q1,balanced,1574,0.5349428208386277,0.571156289707751,4.271861249945954,8.640349013442309,19.058894872869228,28.070758242671783
ADI,close90,s_q1,bid_heavy,663,0.5731523378582202,0.5882352941176471,3.423075956869236,7.777585179390041,22.677869454385572,29.329677224013146
ADI,close90,s_q2,ask_heavy,350,0.4142857142857143,0.26285714285714284,4.982488020047653,11.231157703258695,20.21916962494128,26.46780761495797
ADI,close90,s_q2,balanced,1231,0.35093419983753044,0.35337124289195776,4.37711553469539,4.9547903190774765,21.52529633706591,21.553605259124183
ADI,close90,s_q2,bid_heavy,381,0.2572178477690289,0.41732283464566927,1.0830635287985722,2.915694768410246,17.60682286275321,19.51571099026272
ADI,close90,s_q3,ask_heavy,289,0.31141868512110726,0.2041522491349481,6.124487434016547,3.1151324639285685,18.40561760321082,35.49369838142546
ADI,close90,s_q3,balanced,1027,0.22103213242453748,0.249269717624148,3.561721090759418,8.98709329910988,23.222447792757485,27.40739772286137
ADI,close90,s_q3,bid_heavy,303,0.21782178217821782,0.3069306930693069,0.5489832835958678,8.456659619449493,16.290876933122878,34.480556797139485
ADI,close90,s_q4,ask_heavy,126,0.1984126984126984,0.21428571428571427,12.599837697005404,22.853757115348856,26.650552379182002,94.20609970503779
ADI,close90,s_q4,balanced,723,0.14937759336099585,0.15352697095435686,8.529016803978283,13.86491610310996,37.24125200703934,61.7979668357322
ADI,close90,s_q4,bid_heavy,126,0.2222222222222222,0.16666666666666666,-1.2813595899645325,5.936178838247551,26.212227273794785,33.133078463497846
AMAT,open30,s_q1,balanced,52,0.6923076923076923,0.7115384615384616,15.726683039274516,-11.134066532232842,55.01260376489004,30.27027027026978
AMAT,open30,s_q2,ask_heavy,62,0.6935483870967742,0.6451612903225806,8.678672163158543,9.949096282775528,34.19139817688668,86.69348109073769
AMAT,open30,s_q2,balanced,188,0.6170212765957447,0.6914893617021277,12.305421248193653,5.489093831789406,56.9617057017187,42.84258502008038
AMAT,open30,s_q2,bid_heavy,84,0.6666666666666666,0.6190476190476191,13.334057985523438,23.22217817739695,83.8335173795916,55.4305117038928
AMAT,open30,s_q3,ask_heavy,73,0.4931506849315068,0.6575342465753424,31.552638970457707,32.53565445498094,74.19845777972688,77.14069067509902
AMAT,open30,s_q3,balanced,194,0.5309278350515464,0.5979381443298969,19.96851119388805,21.277201337092357,65.83488567725226,64.04009677557163
AMAT,open30,s_q3,bid_heavy,78,0.48717948717948717,0.6666666666666666,-7.58600803341403,22.935360467543,39.94666182667473,79.84119147665504
AMAT,open30,s_q4,ask_heavy,241,0.42323651452282157,0.36929460580912865,11.610628218471202,18.53353411328693,83.53373084135983,70.38222964716003
AMAT,open30,s_q4,balanced,1074,0.388268156424581,0.4106145251396648,11.370096645822226,13.403430237098695,55.99269148027094,55.01401138102439
AMAT,open30,s_q4,bid_heavy,227,0.42290748898678415,0.3788546255506608,16.13520991420633,27.30037154968489,67.74103333740447,66.14325894496167
AMAT,mid_morning,s_q1,ask_heavy,279,0.6810035842293907,0.6057347670250897,6.1708112371155615,0.0,29.113040055957605,30.160729966022963
AMAT,mid_morning,s_q1,balanced,665,0.6360902255639098,0.6556390977443609,6.287572077047016,7.784933520143946,32.30648378843402,30.63270040263884
AMAT,mid_morning,s_q1,bid_heavy,327,0.636085626911315,0.617737003058104,7.612834281462879,5.544044714381458,28.393258201299627,26.487311255081124
AMAT,mid_morning,s_q2,ask_heavy,371,0.5525606469002695,0.5876010781671159,6.944160777746657,9.782785580745527,40.91400339663433,34.641714282175826
AMAT,mid_morning,s_q2,balanced,1068,0.5084269662921348,0.5646067415730337,5.06964423771533,8.592878463533783,33.50580944711246,34.90444284091426
