entry_bps,exit_bps,period,gross_bps,cost_bps,net_bps,trades
75,0,jan,73.94757262466634,125.02313481790632,-51.07556219324005,32.0
75,0,feb,256.54728389169713,124.46370642058106,132.08357747111603,32.0
75,0,mar,579.1290102653779,186.72361508663954,392.40539517873844,35.0
75,10,jan,265.76520245614074,128.1184875444333,137.64671491170748,32.0
75,10,feb,329.83517570258414,139.9888005044373,189.84637519814677,32.0
75,10,mar,514.1870695865158,199.74438093141055,314.4426886551053,36.0
75,15,jan,220.58371562153843,110.64641774554677,109.93729787599167,32.0
75,15,feb,361.4301561679678,139.98830289578672,221.44185327218105,32.0
75,15,mar,602.4978629820232,199.79731279457388,402.7005501874494,38.0
75,20,jan,227.85884819863435,110.31615611736667,117.54269208126763,32.0
75,20,feb,303.62008765759896,139.27264491660478,164.34744274099418,32.0
75,20,mar,669.085869289301,189.37386201646854,479.71200727283247,38.0
75,25,jan,198.3634527078415,131.079424745442,67.28402796239952,32.0
75,25,feb,318.4803188566043,125.16556387964003,193.3147549769643,34.0
75,25,mar,662.7554670034818,206.30154877386298,456.453918229619,40.0
75,30,jan,212.48945867884396,120.29945025450631,92.19000842433759,32.0
75,30,feb,312.1640719594421,116.70527710457318,195.4587948548688,36.0
75,30,mar,533.2442541572568,219.05304396572106,314.19121019153584,40.0
75,40,jan,76.98750129682352,132.77250025849912,-55.78499896167561,32.0
75,40,feb,404.78559827082705,149.03758158396886,255.74801668685808,38.0
75,40,mar,532.5180584607825,207.59896876149168,324.9190896992908,42.0
75,50,jan,109.15567350873623,176.27784472558875,-67.12217121685251,38.0
75,50,feb,317.18000841074456,160.21606951814215,156.96393889260227,40.0
75,50,mar,539.1807540867167,248.67016075960484,290.5105933271118,50.0
75,60,jan,-66.15962769891404,180.1827901826399,-246.34241788155393,40.0
75,60,feb,287.10286048866607,165.98138932585846,121.12147116280745,50.0
75,60,mar,503.4206454856882,259.72329562175054,243.6973498639377,58.0
100,0,jan,-48.49824807999781,102.25285983435472,-150.7511079143525,22.0
100,0,feb,418.9613313209062,93.35317933365964,325.6081519872466,26.0
100,0,mar,685.1159782534921,163.91212098562053,521.2038572678716,31.0
100,10,jan,148.9082586288326,96.82456436607643,52.083694262756204,22.0
100,10,feb,407.77752608136984,91.91019326890992,315.8673328124599,26.0
100,10,mar,619.460541801784,176.93298864563312,442.5275531561509,32.0
100,15,jan,134.330996572265,96.82304653317146,37.507950039093544,22.0
100,15,feb,452.90575409820735,91.91162354254605,360.9941305556612,26.0
100,15,mar,621.2951685521161,174.36400630245805,446.93116224965814,32.0
100,20,jan,131.9035174973493,97.16953462883211,34.733982868517195,22.0
100,20,feb,421.04249145082485,91.55462950810592,329.4878619427189,26.0
100,20,mar,647.6430795404298,164.6868094162547,482.95627012417503,32.0
100,25,jan,132.79175164531586,106.45645063510209,26.335301010213815,22.0
100,25,feb,564.8954231949954,94.04398702262188,470.85143617237355,28.0
100,25,mar,550.7526879509683,179.44355010591752,371.3091378450509,32.0
100,30,jan,119.30277424333724,106.80068904802316,12.50208519531411,22.0
100,30,feb,520.2440297708044,83.08457004735422,437.15945972345014,28.0
100,30,mar,454.3517581307377,192.19147042176422,262.1602877089735,32.0
100,40,jan,43.874287399239265,111.93773244189629,-68.06344504265704,22.0
100,40,feb,476.0562173995364,110.01873876276915,366.0374786367672,28.0
100,40,mar,440.3257537813499,178.17731564661858,262.1484381347313,32.0
100,50,jan,-8.441862083357066,96.81279702567795,-105.254659109035,22.0
100,50,feb,505.466199456901,103.65702848407508,401.8091709728258,30.0
100,50,mar,415.51468364979803,181.36457506560956,234.1501085841885,34.0
100,60,jan,-76.99435558090606,103.99786839639224,-180.99222397729827,22.0
100,60,feb,411.89425436166437,102.99061927212718,308.90363508953715,30.0
100,60,mar,395.13783814560276,160.6894286352121,234.4484095103907,34.0
125,0,jan,-92.96465332501391,82.32002613354715,-175.28467945856107,16.0
125,0,feb,490.29955976638286,123.69844154531062,366.6011182210721,20.0
125,0,mar,556.7243408666478,147.8731091712831,408.8512316953648,25.0
125,10,jan,-92.96465332501391,82.32002613354715,-175.28467945856107,16.0
125,10,feb,444.7600681563646,123.69309269922849,321.06697545713604,20.0
125,10,mar,485.19583593499505,158.69330067142545,326.5025352635696,26.0
125,15,jan,-92.96465332501391,82.32002613354715,-175.28467945856107,16.0
125,15,feb,478.81943602820166,123.33884618195462,355.48058984624697,20.0
125,15,mar,485.19583593499505,158.69330067142545,326.5025352635696,26.0
125,20,jan,-92.96465332501391,82.32002613354715,-175.28467945856107,16.0
125,20,feb,462.3130450262192,123.33706926235175,338.9759757638673,20.0
125,20,mar,514.8463174540296,149.38263191305143,365.4636855409782,26.0
125,25,jan,-92.96465332501391,82.32002613354715,-175.28467945856107,16.0
125,25,feb,486.1284991016657,123.31480661410248,362.8136924875632,20.0
125,25,mar,415.3871656442121,163.77273677937055,251.61442886484164,26.0
125,30,jan,-92.96465332501391,82.32002613354715,-175.28467945856107,16.0
125,30,feb,455.8022164608122,112.35385057257946,343.44836588823273,20.0
125,30,mar,334.40870427212667,176.5183918325489,157.8903124395778,26.0
125,40,jan,-92.96465332501391,82.32002613354715,-175.28467945856107,16.0
125,40,feb,471.9992207934887,121.20704444062385,350.7921763528647,20.0
125,40,mar,320.3826999227388,162.50423705740326,157.87846286533556,26.0
125,50,jan,-111.64137856863654,82.32260998663767,-193.96398855527423,16.0
125,50,feb,439.89657299476903,114.4806656526583,325.4159073421107,22.0
125,50,mar,254.8613366732422,149.4376608433486,105.42367582989355,26.0
125,60,jan,-142.49971486329116,81.97963131155367,-224.47934617484484,16.0
125,60,feb,430.78984050389124,131.88561008674517,298.90423041714604,22.0
125,60,mar,221.94457851272276,149.40204504865054,72.54253346407228,26.0
150,0,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,0,feb,187.14439258504356,31.33765505386305,155.80673753118054,12.0
150,0,mar,96.54642502279209,120.42351571436863,-23.877090691576537,22.0
150,10,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,10,feb,141.60490097502532,31.33230620778091,110.27259476724439,12.0
150,10,mar,92.96835141943127,129.72855569936087,-36.760204279929624,22.0
150,15,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,15,feb,175.66426884686237,30.978059690507045,144.68620915635532,12.0
150,15,mar,92.96835141943127,129.72855569936087,-36.760204279929624,22.0
150,20,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,20,feb,159.1578778448799,30.97628277090418,128.18159507397576,12.0
150,20,mar,77.56802962489928,120.78397740588915,-43.21594778098986,22.0
150,25,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,25,feb,153.78124456303155,31.334050482619958,122.4471940804116,12.0
150,25,mar,50.65011296778721,134.8040143108921,-84.15390134310488,22.0
150,30,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,30,feb,134.09161821161143,31.68887198068492,102.40274623092651,12.0
150,30,mar,50.65011296778721,134.8040143108921,-84.15390134310488,22.0
150,40,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,40,feb,111.2287496809472,30.971139773014258,80.25760990793292,12.0
150,40,mar,36.624108618399376,120.78985953574643,-84.16575091734705,22.0
150,50,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,50,feb,92.33492376559127,31.325269872809965,61.00965389278126,12.0
150,50,mar,29.403449783718116,120.067641556866,-90.66419177314788,22.0
150,60,jan,-37.35080290371506,72.42293361374352,-109.77373651745859,14.0
150,60,feb,86.99408940032072,38.799680970115354,48.19440843020532,12.0
150,60,mar,21.644896552457382,120.79056043933836,-99.14566388688098,22.0
