signal_view,center_days,entry_bps,rules,valid_rules,median_train_net_bps,p25_train_net_bps,median_validation_net_bps,median_test_net_bps,positive_test_rate,train_island_score
micro_shrink_0.50,5,75.0,9,0,-860.2633284742466,-1629.0780604799177,277.88474622031714,-576.3541700625441,0.0,-1674.8023587142054
micro,5,100.0,9,0,-1061.6063523809744,-1275.642048002125,143.94948259759715,-402.9185969309914,0.0,-1699.427376382037
micro_shrink_0.25,5,100.0,9,0,-1052.9194728406794,-1302.642998690171,37.083500990409206,-312.6793067098112,0.0,-1704.2409721857648
micro_shrink_0.25,5,75.0,9,0,-904.9028435682148,-1644.3679522012321,308.0789334468063,-480.3603247855798,0.0,-1727.086819668831
micro_shrink_0.75,5,75.0,9,0,-915.1867076709217,-1647.022694162727,318.8091036402016,-605.5094942791269,0.0,-1738.6980547522853
mid,5,100.0,9,0,-1137.2290229341963,-1221.9875146817033,86.2535101585537,-228.44934803985808,0.0,-1748.222780275048
micro_shrink_0.50,5,100.0,9,0,-1092.6236413440572,-1330.6868931510285,46.230617396807624,-359.69749728806994,0.0,-1757.9670879195714
micro_shrink_0.75,5,100.0,9,0,-1107.5749316469464,-1354.1550746964704,142.43831383837903,-359.47647274773715,0.0,-1784.6524689951816
mid,5,75.0,9,0,-1054.5795407790224,-1714.4821280581668,312.959721437756,-452.9585406800406,0.0,-1911.8206048081058
micro,5,75.0,9,0,-1126.6904011995814,-1618.3710087278985,318.8091036402016,-612.2050578493862,0.0,-1935.8759055635305
micro_shrink_0.50,3,50.0,9,0,-1190.4723673444748,-1540.9464184706444,135.04865236473066,-277.1045373191975,0.2222222222222222,-1960.945576579797
micro_shrink_0.25,3,50.0,9,0,-1200.3565167342988,-1552.0175131926915,156.36573132570857,-89.4172660566101,0.3333333333333333,-1976.3652733306444
micro_shrink_0.75,3,50.0,9,0,-1138.6783829889182,-1677.7303490834183,134.84690353756625,-332.47257582256356,0.2222222222222222,-1977.5435575306274
micro_shrink_0.25,3,40.0,9,0,-1180.3924180491556,-1609.9851738102311,28.142522865827747,-293.67376735082036,0.2222222222222222,-1985.3850049542712
micro,3,50.0,9,0,-1306.0717667831407,-1383.48936057126,116.2201914917025,-351.72761795017465,0.2222222222222222,-1997.8164470687707
micro,5,60.0,9,0,-1181.9929297900612,-1709.3864969408742,138.65347607699655,-701.3085950253219,0.0,-2036.6861782604983
mid,3,50.0,9,0,-1287.3538941591682,-1575.502038759169,122.71466416037492,-110.76398896888968,0.2222222222222222,-2075.104913538753
micro_shrink_0.50,3,40.0,9,0,-1304.285328999454,-1581.36679134484,90.74653426430707,-302.79761586300026,0.2222222222222222,-2094.968724671874
micro_shrink_0.75,5,60.0,9,0,-1226.3556091994537,-1899.8566505522567,159.1237380983307,-680.0955096762542,0.0,-2176.283934475582
micro_shrink_0.50,5,60.0,9,0,-1209.9406178807699,-2063.0864500050607,87.2264499747738,-605.5795064484737,0.0,-2241.4838428833
micro_shrink_0.25,5,60.0,9,0,-1207.2717596770124,-2111.389632025122,65.28918106518178,-584.5434282419702,0.0,-2262.9665756895733
micro_shrink_0.75,3,40.0,9,0,-1396.5951077541538,-1758.9495143823283,83.71564347432187,-311.6567076251364,0.2222222222222222,-2276.069864945318
mid,5,60.0,9,0,-1285.456588448976,-2033.213194734284,97.33182214166837,-515.5970572534374,0.0,-2302.0631858161178
mid,3,40.0,9,0,-1414.5497676034136,-1790.5861321061468,22.20644531061966,-262.8890963695317,0.2222222222222222,-2309.842833656487
mid,3,30.0,9,1,-1423.729004910408,-2169.597175402782,114.49923167733873,-288.7763660853719,0.0,-2358.5275926117993
micro_shrink_0.25,3,30.0,9,1,-1525.3619140749197,-2067.4793489655963,111.14407918858485,-340.32217221627457,0.0,-2409.101588557718
micro_shrink_0.50,5,50.0,9,0,-1441.9809660803955,-1960.8184031145959,209.91067827642905,-811.9392195575062,0.0,-2422.3901676376936
micro_shrink_0.50,5,40.0,9,0,-1443.9090734188865,-2051.9087706237588,179.0830746538731,-1162.7209985278646,0.0,-2469.863458730766
mid,5,40.0,9,0,-1383.106842711079,-2194.7095031886643,163.64449211021866,-1052.943980946015,0.0,-2480.4615943054114
