hedge,signal_price,signal_kind,hedge_frac,mode,threshold_bps,exit_bps,max_hold,jan_net_bps,jan_gross_bps,jan_cost_bps,jan_trades,jan_avgpos,feb_net_bps,feb_gross_bps,feb_cost_bps,feb_trades,feb_avgpos,train_net_bps,train_gross_bps,train_cost_bps,train_trades,train_avgpos,test_net_bps,test_gross_bps,test_cost_bps,test_trades,test_avgpos
official8,micro,roll_center,0.0,threshold,100,0,390,-227.8763969523183,-157.61462217061427,70.26177478170399,22,0.5180691791430047,-225.43487742882996,-125.82927664094967,99.60560078788032,22,0.5767239029708368,-453.31127438114834,-283.44389881156394,169.86737556958437,44,0.5465994962216625,254.6547995251875,371.0534390325293,116.39863950734161,30,0.6509322633939107
official8,micro,roll_center,0.0,threshold,100,25,60,-347.33071737757945,-160.07063943731305,187.26007794026643,102,0.37312854930304595,-309.94744486825937,-27.632463921474226,282.31498094678534,134,0.4971381847914963,-657.278162245839,-187.70310335878725,469.57505888705174,236,0.4334482301471563,29.579104641733466,346.41173810206817,316.8326334603347,176,0.5686806702855794
official8,micro,roll_center,0.0,threshold,100,25,390,-227.8763969523183,-157.61462217061427,70.26177478170399,22,0.5180691791430047,-276.28436810821677,-178.83463351426877,97.44973459394804,22,0.5599618424638866,-504.16076506053514,-336.44925568488304,167.71150937565204,44,0.5384462415484556,305.89191910063806,422.29430951162607,116.4023904109879,30,0.6261505782393203
official8,micro,roll_center,0.0,threshold,150,0,60,-246.69422579308235,-152.50140168348912,94.1928241095932,52,0.18662880743417656,43.91350120136327,176.81638126114228,132.902880059779,72,0.27296266012537473,-202.7807245917191,24.314979577653162,227.0957041693722,124,0.22862256396659153,379.32586523074576,528.8355181918103,149.5096529610645,82,0.27059240028321924
official8,micro,roll_center,0.0,threshold,150,0,390,-137.3340218070193,-80.4786043082828,56.855417498736514,12,0.27503871966959215,1.3455117448393437,58.68060023834332,57.33508849350399,14,0.3639956391387299,-135.98851006218004,-21.79800406993948,114.19050599224049,26,0.31830836537186796,298.27899948755174,353.51564057712005,55.2366410895683,16,0.3533160254897333
official8,micro,roll_center,0.0,threshold,150,25,60,-246.69422579308235,-152.50140168348912,94.1928241095932,52,0.18662880743417656,43.91350120136327,176.81638126114228,132.902880059779,72,0.27296266012537473,-202.7807245917191,24.314979577653162,227.0957041693722,124,0.22862256396659153,379.32586523074576,528.8355181918103,149.5096529610645,82,0.27059240028321924
official8,micro,roll_center,0.0,threshold,150,25,390,-137.3340218070193,-80.4786043082828,56.855417498736514,12,0.27503871966959215,1.3455117448393437,58.68060023834332,57.33508849350399,14,0.3639956391387299,-135.98851006218004,-21.79800406993948,114.19050599224049,26,0.31830836537186796,298.27899948755174,353.51564057712005,55.2366410895683,16,0.3533160254897333
official8,micro,roll_center,0.0,threshold,200,0,60,-60.77624727706775,-13.083578550991959,47.69266872607576,22,0.08169850283944244,61.57496698075981,123.01501138181514,61.44004440105544,40,0.15712728263832107,0.7987197036920125,109.93143283082318,109.1327131271312,62,0.11838790931989925,192.86531581529633,281.2724988135251,88.40718299822879,56,0.18810479112579656
official8,micro,roll_center,0.0,threshold,200,0,390,-10.782538795495542,16.348253032374416,27.13079182786996,8,0.14984512132163139,-10.251866790598058,23.659491249645725,33.91135804024381,10,0.2596075224856909,-21.03440558609359,40.00774428202014,61.04214986811377,18,0.203234787219939,377.6917110165423,399.5349377402757,21.843226723733352,12,0.271772480528676
official8,micro,roll_center,0.0,threshold,200,25,60,-60.77624727706775,-13.083578550991959,47.69266872607576,22,0.08169850283944244,61.57496698075981,123.01501138181514,61.44004440105544,40,0.15712728263832107,0.7987197036920125,109.93143283082318,109.1327131271312,62,0.11838790931989925,192.86531581529633,281.2724988135251,88.40718299822879,56,0.18810479112579656
official8,micro,roll_center,0.0,threshold,200,25,390,-10.782538795495542,16.348253032374416,27.13079182786996,8,0.14984512132163139,-10.251866790598058,23.659491249645725,33.91135804024381,10,0.2596075224856909,-21.03440558609359,40.00774428202014,61.04214986811377,18,0.203234787219939,377.6917110165423,399.5349377402757,21.843226723733352,12,0.271772480528676
official8,micro,roll_center,0.5,threshold,50,0,60,-1054.142529821545,-301.1089678603616,753.0335619611833,188,0.6702374806401652,-940.25970328567,-20.05841166560324,920.2012916200666,220,0.8205233033524121,-1994.4022331072147,-321.16737952596503,1673.2348535812503,408,0.7433381943523797,-1232.30337086722,-145.9447351093866,1086.3586357578333,240,0.7796790181732358
official8,micro,roll_center,0.5,threshold,50,0,390,-503.42733300716174,-294.44481897901613,208.9825140281456,32,0.7777490965410429,-341.208305864303,-98.75641139803516,242.4518944662677,36,0.8979285908967021,-844.6356388714648,-393.20123037705144,451.4344084944133,68,0.8362057536789076,-509.98786445475355,-246.14616958371815,263.84169487103543,40,0.8578003304224687
official8,micro,roll_center,0.5,threshold,50,25,60,-1067.9607488905895,-291.9106133298848,776.0501355607047,188,0.6606866288074342,-1049.6142794024588,-108.98442588679485,940.6298535156637,220,0.7998092123194331,-2117.5750282930485,-400.89503921667983,1716.6799890763684,408,0.728357417473154,-1220.9327969256792,-132.0375368602023,1088.895260065477,240,0.7736606089214066
official8,micro,roll_center,0.5,threshold,50,25,390,-515.9557390228015,-254.9953253930444,260.96041362975706,34,0.7006969540526587,-426.01115159329635,-128.47412208715053,297.53702950614576,42,0.8239302262196784,-941.9668906160979,-383.469447480195,558.4974431359028,76,0.7606390030491846,-415.2108149710489,-143.20257069182802,272.0082442792208,42,0.8022185508614585
official8,micro,roll_center,0.5,threshold,100,0,60,-567.7410810125526,-119.41265664373975,448.32842436881293,102,0.37312854930304595,-724.1449241657111,-104.04082387438454,620.1041002913265,134,0.4971381847914963,-1291.8860051782638,-223.4534805181244,1068.4325246601395,236,0.4334482301471563,-581.0936991471714,238.5082258999764,819.6019250471478,176,0.5686806702855794
official8,micro,roll_center,0.5,threshold,100,0,390,-338.5882299961579,-199.84172824088014,138.7465017552778,22,0.5180691791430047,-289.8905521528053,-109.71907192307961,180.17148022972566,22,0.5767239029708368,-628.4787821489633,-309.5608001639598,318.9179819850034,44,0.5465994962216625,-21.881211165700552,184.70314194392708,206.58435310962764,30,0.6509322633939107
official8,micro,roll_center,0.5,threshold,100,25,60,-567.7410810125526,-119.41265664373975,448.32842436881293,102,0.37312854930304595,-724.1449241657111,-104.04082387438454,620.1041002913265,134,0.4971381847914963,-1291.8860051782638,-223.4534805181244,1068.4325246601395,236,0.4334482301471563,-581.0936991471714,238.5082258999764,819.6019250471478,176,0.5686806702855794
official8,micro,roll_center,0.5,threshold,100,25,390,-338.5882299961579,-199.84172824088014,138.7465017552778,22,0.5180691791430047,-318.12562510702304,-139.65815207344673,178.46747303357625,22,0.5599618424638866,-656.713855103181,-339.4998803143269,317.2139747888541,44,0.5384462415484556,11.877557547002784,221.132264047929,209.2547065009262,30,0.6261505782393203
official8,micro,roll_center,0.5,threshold,150,0,60,-404.43628374863926,-164.1852681267483,240.25101562189093,52,0.18662880743417656,-286.5262991192316,66.14532989881926,352.67162901805085,72,0.27296266012537473,-690.9625828678709,-98.03993822792908,592.9226446399417,124,0.22862256396659153,-92.08568414514666,306.50640307290433,398.59208721805106,82,0.27059240028321924
official8,micro,roll_center,0.5,threshold,150,0,390,-231.30463662595437,-135.0044975134725,96.30013911248187,12,0.27503871966959215,-132.41221376030134,-22.25320549830933,110.15900826199201,14,0.3639956391387299,-363.7168503862557,-157.25770301178184,206.4591473744739,26,0.31830836537186796,68.26776217945324,180.7237025138733,112.45594033442003,16,0.3533160254897333
official8,micro,roll_center,0.5,threshold,150,25,60,-404.43628374863926,-164.1852681267483,240.25101562189093,52,0.18662880743417656,-286.5262991192316,66.14532989881926,352.67162901805085,72,0.27296266012537473,-690.9625828678709,-98.03993822792908,592.9226446399417,124,0.22862256396659153,-92.08568414514666,306.50640307290433,398.59208721805106,82,0.27059240028321924
official8,micro,roll_center,0.5,threshold,150,25,390,-231.30463662595437,-135.0044975134725,96.30013911248187,12,0.27503871966959215,-132.41221376030134,-22.25320549830933,110.15900826199201,14,0.3639956391387299,-363.7168503862557,-157.25770301178184,206.4591473744739,26,0.31830836537186796,68.26776217945324,180.7237025138733,112.45594033442003,16,0.3533160254897333
official8,micro,roll_center,0.5,threshold,200,0,60,-128.19239761167697,-30.75950856991668,97.43288904176033,22,0.08169850283944244,-159.73498307219603,33.856937271990965,193.59192034418697,40,0.15712728263832107,-287.9273806838731,3.097428702074287,291.0248093859473,62,0.11838790931989925,-117.15418750283523,144.2655029666725,261.4196904695077,56,0.18810479112579656
