trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason,gate_reason
455,pair_trading,XLK_top20_cleaned,XLK-AMAT,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.14214655234172935,0.7005304277500676,198.62914056620676,279.5912127313285,168.61802317704712,110.97318955428148,92.0,0.60308770626164,-1434.4984907750202,577.2237740860785,-2011.7222648610987,283.0,0.40238716025014454,-2588.9460389471774,-2625.1615116914327,-7.259922657766915,1.0,False,False,,2x_cost_net<0
340,pair_trading,XLK_top20_cleaned,XLK-AMAT,sscore_ou_gate,sscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.14214655234172935,0.7005304277500676,198.62914056620676,140.15094733236165,176.48585130789448,-36.33490397553281,36.0,1.2592555003525323,-195.76119333231202,342.8508686701157,-538.6120620024275,82.0,1.7513730011244537,-881.4629306725433,-574.9384188465758,-3.3680674635456906,1.0,False,False,,validation_net<=0
33,pair_trading,XLK_top20_cleaned,XLK-AMD,baseline,zscore,ols,aggressive_cross,0.0,0.0,1.5,0.5,120.0,,0.14474834488538607,0.13917399440730255,195.91361381431693,181.67671848260582,188.58570940523435,-6.908990922628553,60.0,1.038029038504953,58.745470873780185,636.3657289384214,-577.6202580646412,198.0,10.832592189203984,-1213.9859870030627,-653.4152317511124,-2.564914080371244,1.0,False,False,,validation_net<=0
189,pair_trading,XLK_top20_cleaned,XLK-AMD,kalman_lagged,zscore,kalman_lagged,aggressive_cross,0.0,0.0,2.0,0.5,120.0,4.0,0.12060327439939197,0.13917399440730255,184.30642295223055,332.6288874392572,219.98076559068866,112.64812184856848,42.0,0.6613399313697921,63.18525768000554,438.70514933963614,-375.51989165963056,108.0,6.943156765481717,-814.2250409992668,-437.9049472450104,-2.100945664472818,1.0,False,False,,2x_cost_net<0
428,pair_trading,XLK_top20_cleaned,XLK-AMD,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.14474834488538607,0.13917399440730255,195.91361381431693,193.33767334847292,96.64184974440188,96.695823604071,54.0,0.49986041556533095,-184.01803219294715,360.9384849761186,-544.9565171690658,186.0,1.9614299787624416,-905.8950021451843,-729.8822271900851,-2.5286706417244376,1.0,False,False,,2x_cost_net<0
310,pair_trading,XLK_top20_cleaned,XLK-AMD,sscore_ou_gate,sscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.14474834488538607,0.13917399440730255,195.91361381431693,296.6240483767683,107.78333126564175,188.84071711112657,36.0,0.36336680001324995,-131.53844702141106,162.64266311000281,-294.18111013141385,68.0,1.2364648267706004,-456.82377324141663,-323.5682425087814,-1.988930923797675,1.0,False,False,,2x_cost_net<0
107,pair_trading,XLK_top20_cleaned,XLK-ANET,baseline,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.12375269120668982,0.015941952505673547,205.41576085320528,26.545450826449684,133.27473152122872,-106.72928069477895,36.0,5.020624151104444,-25.54143221415531,360.2868563789406,-385.828288593096,108.0,14.105977039896226,-746.1151449720365,-387.8619535321888,-2.145689750982924,1.0,False,False,,validation_net<=0
152,pair_trading,XLK_top20_cleaned,XLK-ANET,coint_filter,zscore,ols,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.12375269120668982,0.015941952505673547,205.41576085320528,26.545450826449684,133.27473152122872,-106.72928069477895,36.0,5.020624151104444,-25.54143221415531,360.2868563789406,-385.828288593096,108.0,14.105977039896226,-746.1151449720365,-387.8619535321888,-2.145689750982924,1.0,False,False,,validation_net<=0
547,pair_trading,XLK_top20_cleaned,XLK-ANET,combined,sscore,kalman_lagged,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.1066938770430432,0.015941952505673547,192.22768235270965,62.55738290332949,87.77008669968698,-25.212703796357594,44.0,1.4030332252760465,67.76817335456502,163.0677310235867,-95.29955766902181,68.0,2.406258320855303,-258.36728869260844,-321.890338320909,-0.626662631761672,1.0,False,False,,validation_net<=0
262,pair_trading,XLK_top20_cleaned,XLK-ANET,kalman_lagged,zscore,kalman_lagged,aggressive_cross,0.0,0.0,2.0,0.5,120.0,,0.1066938770430432,0.015941952505673547,192.22768235270965,22.0215283368933,157.974407950602,-135.95287961370872,40.0,7.173635069003949,-14.845574823352266,422.3607841417446,-437.2063589650969,110.0,28.45028159349991,-859.5671431068416,-499.40179206017683,-2.338480951299957,1.0,False,False,,validation_net<=0
