trial_id,pair_or_basket,method,sample,exit_reason,trades,gross_bps,cost_bps,net_bps
97,XLK-QCOM,baseline,train,eod,35,47.79520973456064,106.98843282162869,-59.193223087068056
97,XLK-QCOM,baseline,train,max_hold,95,-23.61314030354842,261.2973240273199,-284.91046433086825
97,XLK-QCOM,baseline,train,reversion,39,326.00141671580263,170.1207986952542,155.8806180205484
97,XLK-QCOM,baseline,validation,eod,10,12.316194550908893,42.58158741917712,-30.265392868268226
97,XLK-QCOM,baseline,validation,max_hold,32,-0.8738149106765213,68.12692144060627,-69.0007363512828
97,XLK-QCOM,baseline,validation,reversion,5,69.44425253867861,8.595951069755406,60.8483014689232
97,XLK-QCOM,baseline,test,eod,33,-20.30766852381631,114.08073159209324,-134.38840011590955
97,XLK-QCOM,baseline,test,max_hold,78,13.839854995357268,187.83516209587427,-173.99530710051698
97,XLK-QCOM,baseline,test,reversion,39,497.609641040674,152.12213062630764,345.48751041436634
98,XLK-QCOM,baseline,train,eod,21,40.657810905203334,46.65364363530742,-5.9958327301040955
98,XLK-QCOM,baseline,train,max_hold,63,5.1570231800032795,176.507824693971,-171.35080151396775
98,XLK-QCOM,baseline,train,reversion,21,175.55122182221112,108.49595307698114,67.05526874523001
98,XLK-QCOM,baseline,train,stop_loss,64,-378.8314655909556,301.863180270734,-680.6946458616897
98,XLK-QCOM,baseline,validation,eod,6,6.356550137806771,6.9598182706816205,-0.6032681328748475
98,XLK-QCOM,baseline,validation,max_hold,27,-51.656220277661234,52.86922236686085,-104.52544264452206
98,XLK-QCOM,baseline,validation,reversion,2,32.02124320142441,3.188763599135438,28.832479602288974
98,XLK-QCOM,baseline,test,eod,20,3.4200820476481164,71.64107829591232,-68.2209962482642
98,XLK-QCOM,baseline,test,max_hold,59,28.01760013320224,118.32950314604184,-90.31190301283961
98,XLK-QCOM,baseline,test,reversion,14,126.95598711741316,58.066306768703406,68.88968034870976
99,XLK-QCOM,baseline,train,eod,21,40.657810905203334,46.65364363530742,-5.9958327301040955
99,XLK-QCOM,baseline,train,max_hold,66,5.552773510522685,181.85099322022444,-176.29821970970175
99,XLK-QCOM,baseline,train,reversion,21,175.55122182221112,108.49595307698114,67.05526874523001
99,XLK-QCOM,baseline,validation,eod,6,6.356550137806771,6.9598182706816205,-0.6032681328748475
99,XLK-QCOM,baseline,validation,max_hold,27,-51.656220277661234,52.86922236686085,-104.52544264452206
99,XLK-QCOM,baseline,validation,reversion,2,32.02124320142441,3.188763599135438,28.832479602288974
99,XLK-QCOM,baseline,test,eod,20,3.4200820476481164,71.64107829591232,-68.2209962482642
99,XLK-QCOM,baseline,test,max_hold,59,28.01760013320224,118.32950314604184,-90.31190301283961
99,XLK-QCOM,baseline,test,reversion,14,126.95598711741316,58.066306768703406,68.88968034870976
100,XLK-QCOM,baseline,train,eod,10,20.015033258704644,32.46217350348858,-12.447140244783938
100,XLK-QCOM,baseline,train,max_hold,35,12.849742287730603,104.9500810460633,-92.10033875833271
100,XLK-QCOM,baseline,train,reversion,4,35.95046983595292,8.227446591992157,27.723023243960764
100,XLK-QCOM,baseline,train,stop_loss,64,-378.8314655909556,301.863180270734,-680.6946458616897
100,XLK-QCOM,baseline,validation,eod,2,9.664201496974917,22.55478181122459,-12.890580314249673
100,XLK-QCOM,baseline,validation,max_hold,17,8.612830496326538,33.28308771118648,-24.670257214859944
100,XLK-QCOM,baseline,test,eod,12,-0.18245677042961259,38.58298609745355,-38.76544286788316
100,XLK-QCOM,baseline,test,max_hold,33,9.207716173507889,104.47731448932949,-95.26959831582161
100,XLK-QCOM,baseline,test,reversion,6,68.30151039373816,27.468679606044635,40.832830787693524
101,XLK-QCOM,baseline,train,eod,10,20.015033258704644,32.46217350348858,-12.447140244783938
101,XLK-QCOM,baseline,train,max_hold,38,-10.845721680217078,115.78599205060881,-126.6317137308259
101,XLK-QCOM,baseline,train,reversion,4,35.95046983595292,8.227446591992157,27.723023243960764
101,XLK-QCOM,baseline,validation,eod,2,9.664201496974917,22.55478181122459,-12.890580314249673
101,XLK-QCOM,baseline,validation,max_hold,17,8.612830496326538,33.28308771118648,-24.670257214859944
101,XLK-QCOM,baseline,test,eod,12,-0.18245677042961259,38.58298609745355,-38.76544286788316
101,XLK-QCOM,baseline,test,max_hold,33,9.207716173507889,104.47731448932949,-95.26959831582161
101,XLK-QCOM,baseline,test,reversion,6,68.30151039373816,27.468679606044635,40.832830787693524
102,XLK-ANET,baseline,train,eod,41,60.47002927998436,117.51324707371919,-57.043217793734854
102,XLK-ANET,baseline,train,max_hold,102,-67.14834999879245,358.0406488725648,-425.18899887135734
102,XLK-ANET,baseline,train,reversion,32,322.24088158449416,133.38425670732806,188.85662487716607
102,XLK-ANET,baseline,train,stop_loss,51,-150.46790945358075,279.33313681150076,-429.80104626508165
102,XLK-ANET,baseline,validation,eod,11,8.817181227511794,31.018689821465365,-22.20150859395357
102,XLK-ANET,baseline,validation,max_hold,30,11.911610182188033,77.37968596885185,-65.4680757866638
102,XLK-ANET,baseline,validation,reversion,3,18.526773787346027,7.025685463642335,11.501088323703687
