pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,execution_model,sample,gross_bps,cost_bps,net_bps,num_trades,turnover,win_rate,avg_holding_minutes,max_drawdown_bps,sharpe_or_tstat
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,120,-1.0,actual_bidask_fills,test,1741.6574570486086,2378.759830728168,-637.1023736795589,77,154.0,0.45454545454545453,80.77922077922078,-885.9097422444418,-1.2632881740073714
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,240,-1.0,actual_bidask_fills,train,408.26201406717996,759.8988271751494,-351.6368131079695,31,62.0,0.45161290322580644,164.58064516129033,-434.80842778361506,-1.0379079555598207
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,240,-1.0,actual_bidask_fills,validation,705.441718363451,873.6152132050545,-168.1734948416036,27,54.0,0.48148148148148145,141.88888888888889,-521.5750625422988,-0.32351288785537957
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.25,240,-1.0,actual_bidask_fills,test,1681.5881209904314,2256.116071197072,-574.5279502066403,52,104.0,0.4230769230769231,121.90384615384616,-762.150407452129,-1.0498622776178996
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,-1,-1.0,actual_bidask_fills,train,437.4091649843059,721.3558598682113,-283.94669488390537,20,40.0,0.4,261.2,-381.5701508837055,-0.9805328682880065
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,-1,-1.0,actual_bidask_fills,validation,687.1265856210051,867.5880436001027,-180.46145797909753,20,40.0,0.45,201.0,-521.7145131868683,-0.41566876159674016
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,-1,-1.0,actual_bidask_fills,test,1720.8175617191391,2116.4567732606265,-395.6392115414875,44,88.0,0.4772727272727273,141.0,-624.3417302699684,-0.7546564356498725
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,30,-1.0,actual_bidask_fills,train,546.5582755242249,1167.4200669441248,-620.8617914199,140,280.0,0.42142857142857143,28.821428571428573,-700.2055751934133,-1.9948398166610815
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,30,-1.0,actual_bidask_fills,validation,599.1113720394026,1351.5057229935933,-752.3943509541908,117,234.0,0.42735042735042733,28.076923076923077,-858.2668215707479,-1.65113764981019
XLK-AAPL,AAPL,0.027742057074438543,1.25,0.5,30,-1.0,actual_bidask_fills,test,1900.6813119258936,2820.02236560694,-919.3410536810464,195,390.0,0.4256410256410256,27.225641025641025,-1097.39511273526,-1.8289456160612187
