pair,stock,spread_type,entry_z,exit_z,execution_scenario,sample,gross_bps,cost_bps,net_bps,trades,avg_abs_position
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,train,239.94588930752235,1500.0827275194194,-1260.1368382118972,413,0.7114345823619719
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,validation,470.038214416304,131.48986559232827,338.54834882397574,40,0.5690093141405589
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,test,118.9929489246655,262.8347521354036,-143.84180321073802,103,0.6370763627384406
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,train,487.27873319376334,1620.81810829333,-1133.539375099566,411,0.7095581963950646
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,validation,373.9363169875354,101.79695269292296,272.13936429461245,40,0.5674569573807507
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,test,-32.23651543152073,247.8516028510765,-280.0881182825972,103,0.6354095931847645
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,train,508.55398174210364,1418.983431997302,-910.429450255198,409,0.703971683629954
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,validation,196.4803738552323,106.97644413967319,89.50392971555907,40,0.5627998871013266
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,test,-171.0015768799966,194.5461273316963,-365.5477042116929,103,0.630409284523736
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,train,33.162208877852706,0.0,33.162208877852706,414,0.7114345823619719
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,validation,513.5146322421047,0.0,513.5146322421047,40,0.5690093141405589
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,test,244.59340544139786,0.0,244.59340544139786,102,0.6370763627384406
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,train,440.9653666911391,658.8848564338521,-217.91948974271273,182,0.33683971115028144
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,validation,53.2932834661355,74.44973443381318,-21.15645096767771,22,0.521732994637313
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency0,test,200.09689721395839,173.9727983758895,26.12409883806878,56,0.4445953453916908
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,train,272.15994049145326,560.4503590519239,-288.29041856047075,181,0.33683971115028144
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,validation,-7.817063400412608,80.19560852030736,-88.01267192071994,23,0.521732994637313
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency1,test,147.11520246247753,145.64442669122036,1.4707757712571767,56,0.4445953453916908
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,train,324.3121792268246,636.9179894936581,-312.60581026683366,181,0.33585887303121625
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,validation,9.840657380140208,65.91941874351252,-56.078761363372294,23,0.5201806378775049
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency2,test,164.95728617934438,147.0074314655387,17.949854713805653,56,0.44329896907216493
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,train,328.81736302559693,605.4104217668665,-276.5930587412694,181,0.33287371353840906
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,validation,35.41513374631052,72.62987396530035,-37.21474021898984,23,0.5155235675980807
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,exact_bidask_latency5,test,117.79063165798908,151.16351597508591,-33.37288431709693,56,0.43940984011358725
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,train,299.9538757586974,0.0,299.9538757586974,182,0.33683971115028144
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,validation,18.224843970926965,0.0,18.224843970926965,22,0.521732994637313
XLK-AAPL,AAPL,cum_residual_return,2.0,0.0,clipped_last_trade_proxy,test,182.42842772167955,0.0,182.42842772167955,56,0.4445953453916908
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,train,32.49660137066179,356.278862012869,-323.7822606422073,104,0.21677943935861715
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,validation,409.47566248302536,44.32750771461796,365.1481547684074,12,0.2530341518487158
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency0,test,52.22922955850251,52.856670508384575,-0.6274409498820133,16,0.15531822952034077
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency1,train,-55.48889305647009,410.7708669399541,-466.25975999642424,104,0.21677943935861715
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency1,validation,407.6109826189622,35.19500596295714,372.4159766560051,11,0.2530341518487158
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency1,test,52.087872217834175,34.23402012121146,17.85385209662274,17,0.15531822952034077
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency2,train,-57.77319214946175,472.6254401724147,-530.3986323218766,104,0.21613976232444418
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency2,validation,403.26164655690275,35.85700906504308,367.4046374918597,11,0.2523285351397121
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency2,test,63.38822860315396,52.816054318708396,10.572174284445603,17,0.1549478362861905
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency5,train,-26.966323465185127,371.0697363033483,-398.03605976853356,104,0.21422073122192528
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency5,validation,360.48242363769134,17.710439727921198,342.7719839097701,11,0.2502116850127011
XLK-INTC,INTC,direct_log_price,2.5,0.5,exact_bidask_latency5,test,22.137021215620223,32.759470147496145,-10.622448931875937,17,0.15383665658373974
XLK-INTC,INTC,direct_log_price,2.5,0.5,clipped_last_trade_proxy,train,-78.36480460265527,0.0,-78.36480460265527,104,0.21677943935861715
XLK-INTC,INTC,direct_log_price,2.5,0.5,clipped_last_trade_proxy,validation,387.1599368137702,0.0,387.1599368137702,12,0.2530341518487158
XLK-INTC,INTC,direct_log_price,2.5,0.5,clipped_last_trade_proxy,test,67.6261518104937,0.0,67.6261518104937,16,0.15531822952034077
