pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,sample,gross_bps,cost_bps,net_bps,num_trades,win_rate,avg_holding_minutes
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,60,,validation,601.1520416990865,797.474520896862,-196.32247919777555,51,0.47058823529411764,52.90196078431372
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,120,,test,1282.2400328588135,1961.5160042120713,-679.2759713532577,58,0.43103448275862066,90.53448275862068
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,120,,train,533.8224376548279,666.4696207848955,-132.64718313006762,43,0.4186046511627907,102.55813953488372
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,120,,validation,687.4981017864404,695.0398919154451,-7.541790129004669,34,0.5294117647058824,90.32352941176471
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,240,,test,1103.4631541833141,1654.6299555045528,-551.1668013212385,40,0.5,149.925
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,240,,train,363.2114965322104,583.2070998582018,-219.99560332599137,27,0.4444444444444444,178.0
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,240,,validation,828.2640105096477,855.9929499355407,-27.728939425892946,24,0.5416666666666666,146.375
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,-1,,test,1770.9962391968108,2089.8206357077593,-318.8243965109483,36,0.4444444444444444,172.36111111111111
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,-1,,train,666.3475105295744,668.0142293099225,-1.666718780348134,19,0.47368421052631576,279.10526315789474
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,-1,,validation,703.8882687256654,798.171324701934,-94.2830559762687,16,0.4375,244.125
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,30,,test,2328.714675746302,3080.543199688476,-751.8285239421735,160,0.43125,27.45625
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,30,,train,611.8747794162031,935.4860680897937,-323.6112886735906,111,0.44144144144144143,29.045045045045047
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,30,,validation,606.639090216357,887.7910772685501,-281.1519870521931,89,0.47191011235955055,28.1123595505618
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,60,,test,1841.2668321266324,2815.2209703498024,-973.95413822317,95,0.4105263157894737,49.76842105263158
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,60,,train,614.6963759302249,703.3876783538616,-88.69130242363666,65,0.47692307692307695,55.676923076923075
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,60,,validation,586.1073902230183,795.5491101441379,-209.44171992111953,51,0.49019607843137253,52.11764705882353
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,120,,test,1881.697108126226,2463.2215950408417,-581.5244869146154,62,0.43548387096774194,83.91935483870968
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,120,,train,723.0732120968489,800.4489773380359,-77.37576524118691,43,0.4186046511627907,99.5813953488372
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,120,,validation,663.2273696019037,693.4943809740716,-30.267011372167996,34,0.5588235294117647,87.38235294117646
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,240,,test,1695.4010070778295,2160.1140120569385,-464.71300497910875,45,0.4888888888888889,128.57777777777778
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,240,,train,567.5248483459859,727.6951180710134,-160.1702697250275,28,0.42857142857142855,170.82142857142858
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.25,240,,validation,789.5622255737998,838.3517903940387,-48.78956482023883,24,0.5833333333333334,140.66666666666666
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,-1,,test,1928.58752095711,2333.2696114773457,-404.68209052023565,39,0.48717948717948717,146.82051282051282
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,-1,,train,652.5329667647293,682.267806444762,-29.73483968003262,20,0.5,252.7
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,-1,,validation,694.5265708562412,802.9737563844392,-108.44718552819809,17,0.47058823529411764,216.1764705882353
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,30,,test,2273.4398197041005,3098.9446509452237,-825.5048312411232,160,0.43125,27.15625
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,30,,train,570.9388075329418,946.4824658590666,-375.5436583261247,111,0.44144144144144143,28.873873873873872
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,30,,validation,589.364680856692,887.5384603581781,-298.1737795014861,89,0.47191011235955055,28.06741573033708
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,60,,test,1880.857906306285,2831.9570729930274,-951.0991666867425,95,0.4,48.82105263157895
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.5,60,,train,592.7144753411358,682.4028309080317,-89.68835556689588,65,0.47692307692307695,55.292307692307695
