symbol,latency_min,buy_taker_cost_bps_median,sell_taker_cost_bps_median,roundtrip_two_leg_cost_bps_median,buy_taker_cost_bps_p90,sell_taker_cost_bps_p90
MSFT,0,2.6062027625749282,2.6062027625749282,5.2124055251498564,17.82362160508719,17.823621605088032
MSFT,1,3.434538066038673,3.377698200753758,5.211637139031683,23.150436893053445,23.81886526022282
MSFT,2,3.7050759540560283,3.6304473517901035,5.212276151355474,25.309474803777082,25.828406350605484
MSFT,5,4.1832393791742,4.236336424851789,5.211713158438586,30.695194123315357,30.80381093249447
MU,0,6.02585954582275,6.025859545820793,12.051719091643543,19.119822250623123,19.119822250621727
MU,1,7.2644430596049645,7.139498850667113,12.056369195772614,32.78992454803001,33.16406444857075
MU,2,7.571933366985222,7.24826766402665,12.055204522779851,40.721618798447096,40.891879176268034
MU,5,7.89929554144912,7.425767880271021,12.05265964307606,56.945467399434875,56.29278637613945
NVDA,0,0.7853403146743398,0.7853403146743398,1.5706806293486797,6.235689143820428,6.235689143820428
NVDA,1,1.4896469536720363,1.3995017773659846,1.5706395120547185,16.008467861536367,16.132798561495377
NVDA,2,1.643295359882511,1.6005975609780947,1.570803989842192,19.98430126674325,20.18104889656994
NVDA,5,1.8620487856795156,1.7591917770348366,1.57063951205323,27.570546053207675,28.583418325249106
ORCL,0,3.645942522019104,3.645942522018715,7.291885044037819,15.04795939924541,15.047959399243851
ORCL,1,4.373018476003745,4.389173372347543,7.2955424235794695,28.121835606612116,28.370298643150136
ORCL,2,4.632703854493694,4.654792488136405,7.293704239207274,34.02483041363855,34.40080062516657
ORCL,5,5.03058063491217,5.083668714255647,7.291666666667437,45.048777220158094,47.569476025101885
PLTR,0,2.386350077555903,2.386350077555903,4.772700155111806,12.228941158497813,12.228941158499403
PLTR,1,3.636664211965269,3.583672506347895,4.771893604073437,24.211948816339746,24.73713180541021
PLTR,2,3.687686479600847,3.872866695926272,4.7727815088803105,30.2195862086879,30.888312210287843
PLTR,5,3.7746600645414237,4.332382616872398,4.7685096708507935,42.37684308708516,43.468129259051686
QCOM,0,5.704506560181544,5.704506560183638,11.40901312036518,15.827863929833047,15.827863929833047
QCOM,1,5.939541717465308,6.067040800850333,11.406085146424969,23.585541457806073,23.583820361295867
QCOM,2,6.061272982681645,6.230249424232664,11.407816887240074,27.163675985622728,27.26993168297996
QCOM,5,6.173960414017035,6.600147532712378,11.405109489050446,34.92208783437671,35.38739381135176
TXN,0,8.745483062920982,8.745483062921007,17.49096612584199,22.333928014638442,22.33392801463985
TXN,1,8.806340565206524,8.722869310892683,17.494673096333507,29.3317126020683,28.774542992553556
TXN,2,8.957445954937956,8.81946672194313,17.49331142725099,32.435452245417466,31.630045121948825
TXN,5,9.228876127974099,8.951349415925213,17.49287588522429,39.83224985217423,38.37373982644441
XLK,0,0.5336653917988564,0.5336653917988564,1.0673307835977128,4.0659776205747145,4.0659776205747145
XLK,1,1.0296893770369904,1.023297063138437,1.0673402790858328,10.572657334415608,10.770021828899035
XLK,2,1.065151784130288,1.0319562450562263,1.0671409515330446,13.40164840222591,13.529422703275172
XLK,5,1.3573585817656721,1.0575296121422617,1.0670935061788733,18.337188632301274,18.607298474848967
