pair,stock,spread_type,entry_z,exit_z,execution_scenario,month,gross_bps,cost_bps,net_bps,trades
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2026-01,-168.08934813827392,99.43343164877825,-267.5227797870522,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2026-02,540.4090563194242,123.45302218510552,416.95603413431866,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2026-03,969.7783451941789,159.61164976106153,810.1666954331173,62
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,2026-04,-715.4959339002876,96.91970522129986,-812.4156391215876,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-05,-181.30323053107134,162.23304106459977,-343.53627159567105,33
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-06,-19.02039333022465,242.77691382068033,-261.797307150905,50
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-07,627.7989919159843,210.29264322647194,417.50634868951244,60
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-08,162.0981622561768,108.21109515703058,53.887067099146186,46
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-09,440.7273975964543,150.49707448354553,290.2303231129087,52
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-10,373.13341880327755,141.76595037395612,231.3674684293214,55
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-11,-270.3440685535341,235.9704706222893,-506.31453917582337,35
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2025-12,-676.4660332423489,164.9986517156434,-841.4646849579924,42
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2026-01,-216.67835560719163,83.33688705520237,-300.0152426623939,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2026-02,470.038214416304,131.48986559232827,338.54834882397574,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2026-03,875.7191222241368,147.41060119940386,728.3085210247328,63
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency1,2026-04,-756.7261732994713,115.42415093599979,-872.1503242354709,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-05,-204.1613157605049,187.45614067755588,-391.61745643806074,33
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-06,-0.11199659724070443,292.49220923099983,-292.60420582824054,50
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-07,637.2808774546712,198.00524246292593,439.2756349917452,58
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-08,252.48541391114543,95.67529676831987,156.8101171428255,46
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-09,395.84411726599103,179.51495643746003,216.32916082853097,52
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-10,454.5326506682823,157.91770941463415,296.6149412536481,55
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-11,-203.6332221112147,218.8447862085785,-422.47800831979316,35
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2025-12,-625.4769926659786,177.39215805230918,-802.8691507182878,42
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2026-01,-219.48079897138763,113.51960904054624,-333.00040801193387,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2026-02,373.9363169875354,101.79695269292296,272.13936429461245,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2026-03,781.1213165606734,162.87448988505375,618.2468266756198,63
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency2,2026-04,-813.3578319921942,84.97711296602276,-898.3349449582171,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-05,-109.71804383766326,154.74726472137564,-264.465308559039,32
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-06,16.3410341539727,236.5484462355295,-220.20741208155684,49
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-07,585.573466411562,173.0984857484949,412.474980663067,58
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-08,305.68887639138785,82.76169895775162,222.92717743363625,46
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-09,344.17287170220413,112.4459368357127,231.72693486649143,52
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-10,514.3397950626838,167.3656324691858,346.974162593498,55
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-11,-253.90053010506898,191.20129041977881,-445.10182052484777,35
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2025-12,-597.4005259028913,184.28802348288463,-781.688549385776,42
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2026-01,-296.54296213408315,116.52665312658829,-413.06961526067147,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2026-02,196.4803738552323,106.97644413967319,89.50392971555907,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2026-03,553.2495135255822,124.11896360751986,429.1305499180623,63
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency5,2026-04,-724.2510904055788,70.42716372417645,-794.6782541297554,40
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-05,-198.77351760179351,0.0,-198.77351760179351,34
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-06,32.158352814386504,0.0,32.158352814386504,50
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-07,433.3792754894361,0.0,433.3792754894361,60
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-08,216.2389306769974,0.0,216.2389306769974,46
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-09,398.07987380741315,0.0,398.07987380741315,52
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,clipped_last_trade_proxy,2025-10,256.86423528693325,0.0,256.86423528693325,54
