trial_id,strategy_family,universe,pair_or_basket,method,signal,hedge_method,execution_mode,passive_fill_prob,adverse_selection_bps,entry_z,exit_z,max_hold,z_stop,beta,adf_p,ou_half_life_minutes,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_cost_share,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_cost_share,test_2x_cost_net_bps,test_latency1_net_bps,sharpe,dsr_pvalue,selected_flag,gate_selected_flag,skip_reason
449,pair_trading,XLK_top20_cleaned,XLK-LRCX,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.17977997194016287,0.8336242722019149,191.77341986153473,12.049670560777166,164.17455645210268,-152.1248858913256,88.0,13.624817012550253,-1838.852909735464,686.4235840226141,-2525.276493758078,293.0,0.37328901098531175,-3211.7000777806916,-3102.496249494473,-8.886440876166652,1.0,False,False,
450,pair_trading,XLK_top20_cleaned,XLK-LRCX,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,,0.17977997194016287,0.8336242722019149,191.77341986153473,-10.221727074585171,164.57191221610177,-174.79363929068685,86.0,16.10020606256312,-1557.0981421248414,627.7713872255816,-2184.869529350423,293.0,0.4031675141355667,-2812.6409165760047,-3105.4995949375607,-7.7074457684364,1.0,False,False,
451,pair_trading,XLK_top20_cleaned,XLK-LRCX,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,4.0,0.17977997194016287,0.8336242722019149,191.77341986153473,18.439830284417216,95.94289053766452,-77.50306025324741,54.0,5.203024597180926,-944.8144247544371,540.3234961283771,-1485.1379208828141,213.0,0.5718831994640751,-2025.461417011191,-1974.5090424459881,-6.084721635020784,1.0,False,False,
452,pair_trading,XLK_top20_cleaned,XLK-LRCX,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.17977997194016287,0.8336242722019149,191.77341986153473,29.601751350380212,100.43217669084153,-70.83042534046128,50.0,3.392778200927343,-961.6233276007044,502.85994337973426,-1464.4832709804389,211.0,0.5229281871046052,-1967.3432143601729,-2010.4469276106904,-6.006068777735864,1.0,False,False,
453,pair_trading,XLK_top20_cleaned,XLK-LRCX,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,4.0,0.17977997194016287,0.8336242722019149,191.77341986153473,-40.8333068599759,55.3666642195258,-96.19997107950175,40.0,1.3559191864961406,-308.0710091437216,235.32645103518095,-543.3974601789026,100.0,0.7638708091659355,-778.7239112140835,-642.9356263848351,-3.005602667332501,1.0,False,False,
454,pair_trading,XLK_top20_cleaned,XLK-LRCX,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,2.0,0.5,120.0,,0.17977997194016287,0.8336242722019149,191.77341986153473,21.22078314353633,51.54259504950607,-30.321811905969774,36.0,2.428873369134141,-156.106031813254,217.501653582541,-373.60768539579493,104.0,1.3932943593283644,-591.109338978336,-705.5997029736654,-2.0458195242730466,1.0,True,False,
455,pair_trading,XLK_top20_cleaned,XLK-AMAT,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,4.0,0.14214655234172935,0.7005304277500676,198.62914056620676,279.5912127313285,168.61802317704712,110.97318955428148,92.0,0.60308770626164,-1434.4984907750202,577.2237740860785,-2011.7222648610987,283.0,0.40238716025014454,-2588.9460389471774,-2625.1615116914327,-7.259922657766915,1.0,True,False,
456,pair_trading,XLK_top20_cleaned,XLK-AMAT,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.0,0.5,120.0,,0.14214655234172935,0.7005304277500676,198.62914056620676,122.47239164669237,161.22858222553836,-38.756190578845896,86.0,1.3164483852871072,-1321.774915563018,576.6618738321215,-1898.4367893951392,289.0,0.43627842156959745,-2475.098663227261,-2702.2243862187215,-6.866248682575382,1.0,False,False,
457,pair_trading,XLK_top20_cleaned,XLK-AMAT,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,4.0,0.14214655234172935,0.7005304277500676,198.62914056620676,-12.051758361865256,100.71483771222144,-112.7665960740868,50.0,8.356858367730645,-840.7440966667857,404.7033031141059,-1245.4473997808916,209.0,0.48136324087031085,-1650.1507028949977,-1612.4406764173573,-5.127300572726173,1.0,False,False,
458,pair_trading,XLK_top20_cleaned,XLK-AMAT,passive_stress,zscore,ols,passive_entry_stress,0.5,0.5,1.5,0.5,120.0,,0.14214655234172935,0.7005304277500676,198.62914056620676,-115.29125367364348,114.3371848697782,-229.62843854342177,50.0,0.9917247078727587,-817.279142146427,440.684463804928,-1257.963605951355,215.0,0.5392092384097246,-1698.6480697562831,-1583.1982364340352,-5.188626057768711,1.0,False,False,
