symbol,notional_usd,median_minute_dollar_volume,p25_minute_dollar_volume,participation_median_minute,participation_p25_minute,median_halfspread_bps,sqrt_impact_proxy_bps,all_in_oneway_cost_proxy_bps
IBM,1000000.0,1627647.2100000002,975602.6175,0.6143837521154231,1.0250075000439407,4.796656045499241,7.838263532922474,12.634919578421716
IBM,5000000.0,1627647.2100000002,975602.6175,3.071918760577115,5.125037500219704,4.796656045499241,17.52689008517231,22.323546130671552
INTC,100000.0,6604420.9175,3756790.5223542037,0.015141372915076622,0.02661846579013799,1.4253135979409126,1.230502861235057,2.65581645917597
INTC,500000.0,6604420.9175,3756790.5223542037,0.07570686457538311,0.13309232895068995,1.4253135979409126,2.7514880442295784,4.176801642170491
INTC,1000000.0,6604420.9175,3756790.5223542037,0.15141372915076623,0.2661846579013799,1.4253135979409126,3.8911917088568924,5.316505306797805
INTC,5000000.0,6604420.9175,3756790.5223542037,0.7570686457538311,1.3309232895068994,1.4253135979409126,8.700969174487582,10.126282772428494
KLAC,100000.0,1408846.32632647,695043.3600000001,0.07098006229021968,0.14387591588530532,20.432167684454328,2.6642083681690454,23.096376052623373
KLAC,500000.0,1408846.32632647,695043.3600000001,0.3549003114510984,0.7193795794265266,20.432167684454328,5.957351017449772,26.3895187019041
KLAC,1000000.0,1408846.32632647,695043.3600000001,0.7098006229021968,1.4387591588530533,20.432167684454328,8.424966604694625,28.857134289148952
KLAC,5000000.0,1408846.32632647,695043.3600000001,3.549003114510984,7.193795794265266,20.432167684454328,18.83879803626278,39.27096572071711
LRCX,100000.0,2660749.985489195,1585194.3317574689,0.037583388347407765,0.06308374815416623,8.03634909391874,1.938643555360494,9.974992649279235
LRCX,500000.0,2660749.985489195,1585194.3317574689,0.18791694173703882,0.31541874077083115,8.03634909391874,4.3349387739279415,12.371287867846682
LRCX,1000000.0,2660749.985489195,1585194.3317574689,0.37583388347407765,0.6308374815416623,8.03634909391874,6.130529206145891,14.166878300064631
LRCX,5000000.0,2660749.985489195,1585194.3317574689,1.8791694173703883,3.1541874077083114,8.03634909391874,13.708280042990033,21.744629136908774
MSFT,100000.0,17437838.3,11475407.58,0.005734655768656829,0.008714287427514622,2.6062027625749282,0.7572750998584878,3.363477862433416
MSFT,500000.0,17437838.3,11475407.58,0.028673278843284147,0.04357143713757311,2.6062027625749282,1.6933186009515206,4.299521363526448
MSFT,1000000.0,17437838.3,11475407.58,0.057346557686568295,0.08714287427514622,2.6062027625749282,2.394714130884275,5.000916893459204
MSFT,5000000.0,17437838.3,11475407.58,0.28673278843284145,0.4357143713757311,2.6062027625749282,5.3547435833365675,7.960946345911496
MU,100000.0,18603740.925,9881594.099999998,0.005375262986253395,0.010119824695086396,6.025859545821771,0.733161850224996,6.7590213960467675
MU,500000.0,18603740.925,9881594.099999998,0.026876314931266975,0.050599123475431974,6.025859545821771,1.6393997356126104,7.665259281434382
MU,1000000.0,18603740.925,9881594.099999998,0.05375262986253395,0.10119824695086395,6.025859545821771,2.31846134025422,8.344320886075991
MU,5000000.0,18603740.925,9881594.099999998,0.26876314931266976,0.5059912347543197,6.025859545821771,5.184237160013706,11.210096705835477
NVDA,100000.0,53674642.65711562,37196588.86622092,0.0018630771449904202,0.0026884185633164956,0.7853403146743398,0.4316337735847857,1.2169740882591256
NVDA,500000.0,53674642.65711562,37196588.86622092,0.0093153857249521,0.013442092816582478,0.7853403146743398,0.9651624591203338,1.7505027737946737
NVDA,1000000.0,53674642.65711562,37196588.86622092,0.0186307714499042,0.026884185633164956,0.7853403146743398,1.364945839581344,2.150286154255684
NVDA,5000000.0,53674642.65711562,37196588.86622092,0.09315385724952101,0.13442092816582477,0.7853403146743398,3.0521116829094086,3.8374519975837487
ORCL,100000.0,7126679.93054948,4386709.3625,0.014031779310213785,0.02279613070673314,3.6459425220189097,1.1845581163545242,4.830500638373434
ORCL,500000.0,7126679.93054948,4386709.3625,0.07015889655106892,0.1139806535336657,3.6459425220189097,2.6487524714678212,6.294694993486731
ORCL,1000000.0,7126679.93054948,4386709.3625,0.14031779310213785,0.2279613070673314,3.6459425220189097,3.7459016685190476,7.391844190537958
ORCL,5000000.0,7126679.93054948,4386709.3625,0.7015889655106892,1.1398065353366569,3.6459425220189097,8.376090767838475,12.022033289857385
PLTR,100000.0,12262377.36,7690045.5,0.008155025494990965,0.013003824229648577,2.386350077555903,0.9030517977940671,3.28940187534997
PLTR,500000.0,12262377.36,7690045.5,0.04077512747495483,0.06501912114824288,2.386350077555903,2.0192852070709284,4.405635284626831
PLTR,1000000.0,12262377.36,7690045.5,0.08155025494990965,0.13003824229648575,2.386350077555903,2.8557005261390707,5.242050603694974
PLTR,5000000.0,12262377.36,7690045.5,0.40775127474954825,0.6501912114824288,2.386350077555903,6.385540499828877,8.771890577384779
QCOM,100000.0,1856855.4900000002,1153474.1012052847,0.05385448708235232,0.08669462096765615,5.70450656018259,2.3206569561732366,8.025163516355827
QCOM,500000.0,1856855.4900000002,1153474.1012052847,0.2692724354117616,0.4334731048382807,5.70450656018259,5.189146706461107,10.893653266643698
QCOM,1000000.0,1856855.4900000002,1153474.1012052847,0.5385448708235232,0.8669462096765614,5.70450656018259,7.338561649420976,13.043068209603566
QCOM,5000000.0,1856855.4900000002,1153474.1012052847,2.692724354117616,4.334731048382807,5.70450656018259,16.409522705178283,22.114029265360873
TXN,100000.0,1524950.4300000002,884578.44625,0.06557590203112372,0.11304819874815031,8.745483062920993,2.56077921795542,11.306262280876414
TXN,500000.0,1524950.4300000002,884578.44625,0.3278795101556186,0.5652409937407515,8.745483062920993,5.726076406717069,14.471559469638063
TXN,1000000.0,1524950.4300000002,884578.44625,0.6557590203112372,1.130481987481503,8.745483062920993,8.097894913563877,16.84337797648487
TXN,5000000.0,1524950.4300000002,884578.44625,3.278795101556186,5.652409937407516,8.745483062920993,18.10744350137861,26.852926564299604
XLK,100000.0,3803855.8850000002,2199903.37,0.02628911373702056,0.04545654202984379,0.5336653917988564,1.6213918014169357,2.155057193215792
XLK,500000.0,3803855.8850000002,2199903.37,0.1314455686851028,0.22728271014921894,0.5336653917988564,3.6255422861291082,4.159207677927965
XLK,1000000.0,3803855.8850000002,2199903.37,0.2628911373702056,0.4545654202984379,0.5336653917988564,5.127291072000942,5.660956463799798
XLK,5000000.0,3803855.8850000002,2199903.37,1.314455686851028,2.2728271014921897,0.5336653917988564,11.464971377421874,11.99863676922073
