stock,pair,spread_type,execution_scenario,beta,entry_z,exit_z,sample,gross_bps,cost_bps,net_bps,trades,avg_abs_position
ORCL,XLK-ORCL,price_regression_residual,half_spread_taker_cost,0.7026480362720552,2.5,0.0,train,-505.1208235830007,962.4591448886098,-1467.5799684716103,110,0.2421675100926821
ORCL,XLK-ORCL,price_regression_residual,half_spread_taker_cost,0.7026480362720552,2.5,0.0,validation,-106.03616502690372,47.35923638054374,-153.39540140744742,10,0.24753034151848716
ORCL,XLK-ORCL,price_regression_residual,half_spread_taker_cost,0.7026480362720552,2.5,0.0,test,1.614719580409485,126.46242809944974,-124.84770851904022,18,0.19927155997283783
ORCL,XLK-ORCL,price_regression_residual,clipped_last_trade_proxy,0.7026480362720552,2.5,0.0,train,-672.2064543439643,0.0,-672.2064543439643,110,0.2421675100926821
ORCL,XLK-ORCL,price_regression_residual,clipped_last_trade_proxy,0.7026480362720552,2.5,0.0,validation,-175.9031336633754,0.0,-175.9031336633754,10,0.24753034151848716
ORCL,XLK-ORCL,price_regression_residual,clipped_last_trade_proxy,0.7026480362720552,2.5,0.0,test,-48.58733377355762,0.0,-48.58733377355762,18,0.19927155997283783
TXN,XLK-TXN,cum_residual_return,no_cost_midpoint,0.12914434767331914,2.5,0.0,train,254.71170199361583,0.0,254.71170199361583,104,0.1839995451185535
TXN,XLK-TXN,cum_residual_return,no_cost_midpoint,0.12914434767331914,2.5,0.0,validation,-91.03444376075252,0.0,-91.03444376075252,12,0.2777307366638442
TXN,XLK-TXN,cum_residual_return,no_cost_midpoint,0.12914434767331914,2.5,0.0,test,-156.5082193401395,0.0,-156.5082193401395,36,0.28378294956478795
TXN,XLK-TXN,cum_residual_return,quarter_spread_cost,0.12914434767331914,2.5,0.0,train,254.71170199361583,252.75532799160638,1.956374002009464,104,0.1839995451185535
TXN,XLK-TXN,cum_residual_return,quarter_spread_cost,0.12914434767331914,2.5,0.0,validation,-91.03444376075252,31.947408903545785,-122.98185266429833,12,0.2777307366638442
TXN,XLK-TXN,cum_residual_return,quarter_spread_cost,0.12914434767331914,2.5,0.0,test,-156.5082193401395,53.087699644889604,-209.59591898502924,36,0.28378294956478795
TXN,XLK-TXN,cum_residual_return,half_spread_taker_cost,0.12914434767331914,2.5,0.0,train,254.71170199361583,505.51065598321276,-250.7989539895969,104,0.1839995451185535
