stock,spread_type,beta,policy,wait_min,latency_min,entry_z,exit_z,min_edge_bps,val_trades,val_gross_bps,val_cost_bps,val_net_bps,test_trades,test_gross_bps,test_cost_bps,test_net_bps,test_avg_net_per_trade_bps
AMD,direct_log_price,1.0530204147931579,taker,1,0,1.5,0.0,0.0,12,364.8572594169291,357.21946879431914,7.637790622609941,28,-631.7993254009601,649.3413634423849,-1281.140688843345,-45.75502460154804
AMD,direct_log_price,1.0530204147931579,taker,1,0,1.5,0.0,25.0,12,364.8572594169291,357.21946879431914,7.637790622609941,28,-631.7993254009601,649.3413634423849,-1281.140688843345,-45.75502460154804
AMD,direct_log_price,1.0530204147931579,taker,1,0,1.5,0.5,0.0,13,368.8970718219207,329.79560344344435,39.10146837847634,29,-272.051141393168,683.9457705895269,-955.9969119826949,-32.965410758023964
AMD,direct_log_price,1.0530204147931579,taker,1,0,1.5,0.5,25.0,13,368.8970718219207,329.79560344344435,39.10146837847634,29,-272.051141393168,683.9457705895269,-955.9969119826949,-32.965410758023964
AMD,direct_log_price,1.0530204147931579,taker,1,0,2.0,0.0,0.0,6,-729.0332696751603,127.36486697252724,-856.3981366476876,18,-607.2329172376387,380.043623692801,-987.2765409304398,-54.848696718357765
AMD,direct_log_price,1.0530204147931579,taker,1,0,2.0,0.0,25.0,6,-729.0332696751603,127.36486697252724,-856.3981366476876,18,-607.2329172376387,380.043623692801,-987.2765409304398,-54.848696718357765
AMD,direct_log_price,1.0530204147931579,taker,1,0,2.0,0.5,0.0,6,-729.0332696751603,127.36486697252724,-856.3981366476876,18,-580.174464233276,380.1324869440241,-960.3069511773001,-53.35038617651667
AMD,direct_log_price,1.0530204147931579,taker,1,0,2.0,0.5,25.0,6,-729.0332696751603,127.36486697252724,-856.3981366476876,18,-580.174464233276,380.1324869440241,-960.3069511773001,-53.35038617651667
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.0,0.0,0.0,11,-239.27251846702052,343.8936020541362,-583.1661205211567,31,-1492.5565512660057,843.4169000474815,-2335.973451313487,-75.35398230043508
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.0,0.0,25.0,11,-239.27251846702052,343.8936020541362,-583.1661205211567,31,-1492.5565512660057,843.4169000474815,-2335.973451313487,-75.35398230043508
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.0,0.5,0.0,11,-345.24993991941756,325.06343832597986,-670.3133782453974,32,-1195.36935643831,884.6491748308874,-2080.0185312691974,-65.00057910216242
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.0,0.5,25.0,11,-345.24993991941756,325.06343832597986,-670.3133782453974,32,-1195.36935643831,884.6491748308874,-2080.0185312691974,-65.00057910216242
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.5,0.0,0.0,5,-707.3402805018853,168.16900814467238,-875.5092886465577,24,-701.642365765849,490.82183974429495,-1192.464205510144,-49.686008562922666
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.5,0.0,25.0,5,-707.3402805018853,168.16900814467238,-875.5092886465577,24,-701.642365765849,490.82183974429495,-1192.464205510144,-49.686008562922666
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.5,0.5,0.0,5,-707.3402805018853,168.16900814467238,-875.5092886465577,24,-677.3001606761447,491.01063532054764,-1168.3107959966924,-48.679616499862185
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,1.5,0.5,25.0,5,-707.3402805018853,168.16900814467238,-875.5092886465577,24,-677.3001606761447,491.01063532054764,-1168.3107959966924,-48.679616499862185
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,2.0,0.0,0.0,5,-609.0238698320089,157.19338855311742,-766.2172583851263,14,-1068.014304695215,328.9483514671472,-1396.9626561623622,-99.78304686874016
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,2.0,0.0,25.0,5,-609.0238698320089,157.19338855311742,-766.2172583851263,14,-1068.014304695215,328.9483514671472,-1396.9626561623622,-99.78304686874016
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,2.0,0.5,0.0,5,-609.0238698320089,157.19338855311742,-766.2172583851263,14,-1068.014304695215,328.9483514671472,-1396.9626561623622,-99.78304686874016
AMD,direct_log_price,1.0530204147931579,maker_skip,1,0,2.0,0.5,25.0,5,-609.0238698320089,157.19338855311742,-766.2172583851263,14,-1068.014304695215,328.9483514671472,-1396.9626561623622,-99.78304686874016
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.0,0.0,0.0,14,56.94065011379321,173.22397085030767,-116.28332073651445,35,-770.4855529098704,817.4487389303724,-1587.9342918402428,-45.36955119543551
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.0,0.0,25.0,14,56.94065011379321,173.22397085030767,-116.28332073651445,35,-770.4855529098704,817.4487389303724,-1587.9342918402428,-45.36955119543551
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.0,0.5,0.0,15,7.575441552040857,147.85390587938923,-140.2784643273484,37,-676.2276556733932,903.2737415736653,-1579.5013972470585,-42.6892269526232
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.0,0.5,25.0,15,7.575441552040857,147.85390587938923,-140.2784643273484,37,-676.2276556733932,903.2737415736653,-1579.5013972470585,-42.6892269526232
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.5,0.0,0.0,6,-893.1849153588338,-73.05330641322269,-820.1316089456111,26,-541.7159988896528,522.0297351443037,-1063.7457340339565,-40.91329746284448
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.5,0.0,25.0,6,-893.1849153588338,-73.05330641322269,-820.1316089456111,26,-541.7159988896528,522.0297351443037,-1063.7457340339565,-40.91329746284448
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.5,0.5,0.0,6,-893.1849153588338,-73.05330641322269,-820.1316089456111,27,-295.6320629736777,528.649228301274,-824.2812912749516,-30.5289367138871
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,1.5,0.5,25.0,6,-893.1849153588338,-73.05330641322269,-820.1316089456111,27,-295.6320629736777,528.649228301274,-824.2812912749516,-30.5289367138871
AMD,direct_log_price,1.0530204147931579,maker_skip,2,0,2.0,0.0,0.0,6,-866.1125933723564,-63.205666953167,-802.9069264191894,14,-1228.4812843911338,334.48391757124887,-1562.9652019623827,-111.64037156874163
