strategy,candidate_set,spread_fraction,participation_rate,execution_horizon_min,markowitz_gamma,active_signals,gross_leverage,largest_weight,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_max_drawdown_bps,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_max_drawdown_bps,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_max_drawdown_bps,validation_score
core_liquid_pairs_sf0.50_pr0.010_h1_g0.001,core_liquid_pairs,0.5,0.01,1,0.001,0,1.9183324459993621e-13,1.6496238951403687e-13,1.1898684736359392e-10,5.050426125464225e-10,-3.860557651828287e-10,668.0,-4.99206140078453e-10,2.127649072794475e-10,5.0682109261495504e-11,1.6208279801795196e-10,89.0,-1.240521655755277e-10,-2.3485989031864825e-10,1.0588474348809245e-10,-3.4074463380674076e-10,168.0,-5.771313838321154e-10,3.822431814406447e-11
core_liquid_pairs_sf0.25_pr0.010_h1_g0.05,core_liquid_pairs,0.25,0.01,1,0.05,0,6.252818113198752e-14,5.2588901870146366e-14,4.037690707427629e-11,1.171875495156348e-10,-7.681064244135849e-11,508.0,-1.468829401599581e-10,6.969271325133373e-11,1.2574520427057818e-11,5.7118192824275925e-11,73.0,-3.8666795559375195e-11,-7.734971333865868e-11,2.5835186345858158e-11,-1.0318489968451688e-10,122.0,-1.8298898845454106e-10,2.955344708070838e-11
core_liquid_pairs_sf0.25_pr0.010_h15_g0.01,core_liquid_pairs,0.25,0.01,15,0.01,0,1.4636200526071455e-13,1.233135530557379e-13,9.365202113534595e-11,3.80383870464474e-10,-2.86731849329128e-10,668.0,-3.744192714739416e-10,1.6275121222326921e-10,4.147691420468194e-11,1.2127429801858726e-10,89.0,-9.257951390724103e-11,-1.8010742707001674e-10,8.727927053567656e-11,-2.673866976056933e-10,168.0,-4.4519307316850315e-10,2.900158719462296e-11
core_liquid_pairs_sf0.35_pr0.001_h1_g0.05,core_liquid_pairs,0.35,0.001,1,0.05,0,4.798093203972635e-14,3.560837974138267e-14,3.032204795053562e-11,7.460605406411006e-11,-4.428400611357445e-11,668.0,-1.0375265494573248e-10,5.088813640950716e-11,7.619189130243619e-12,4.3268947279263525e-11,89.0,-2.8497337870085275e-11,-5.257440204396023e-11,1.476494341428762e-11,-6.733934545824787e-11,168.0,-1.2866812075037736e-10,2.6117518720340673e-11
core_liquid_pairs_sf0.25_pr0.010_h5_g0.25,core_liquid_pairs,0.25,0.01,5,0.25,0,7.0497604423047e-14,5.984381787714821e-14,4.4066408717362076e-11,1.5513312605743285e-10,-1.1106671734007079e-10,668.0,-1.7348480876636652e-10,7.80160815828651e-11,1.6495224262714876e-11,6.152085732015021e-11,89.0,-4.4488626663351884e-11,-8.582991127297121e-11,3.508872774362598e-11,-1.209186390165972e-10,168.0,-2.094662974528067e-10,2.403169143932639e-11
core_liquid_pairs_sf0.35_pr0.010_h15_g0.1,core_liquid_pairs,0.35,0.01,15,0.1,0,3.6874378099237147e-13,2.941328619694385e-13,2.3021962305458914e-10,1.0669556942279898e-09,-8.367360711734006e-10,668.0,-9.926552431730157e-10,3.9908396092076606e-10,1.1388933376481049e-10,2.8519462715595554e-10,89.0,-2.330716274878221e-10,-4.2529194903892e-10,2.386948263424361e-10,-6.639867753813563e-10,168.0,-1.0990604766431784e-09,2.370181717680044e-11
core_liquid_pairs_sf0.35_pr0.001_h5_g0,core_liquid_pairs,0.35,0.001,5,0.0,0,6.466494006929224e-13,1.7658097206663115e-13,3.429456142513846e-10,1.2940724323082474e-09,-9.511268180568627e-10,1051.0,-1.1153093634646255e-09,4.645624461978118e-10,1.3880791944668095e-10,3.257545267511309e-10,150.0,-2.893836023220487e-10,1.285790580441318e-12,3.011836162673551e-10,-2.998978256869137e-10,293.0,-9.024005178252017e-10,2.3155705800171437e-11
core_liquid_pairs_sf0.25_pr0.010_h1_g0.1,core_liquid_pairs,0.25,0.01,1,0.1,0,4.586929366574095e-14,3.864508963080356e-14,2.961744862629911e-11,8.597467128736708e-11,-5.6357222661067984e-11,508.0,-1.0783039386372232e-10,5.115517414939119e-11,9.222225588792243e-12,4.1932948560598945e-11,73.0,-2.8382208425805998e-11,-5.682155827175056e-11,1.8956844019017692e-11,-7.577840229076826e-11,122.0,-1.3434496565607765e-10,2.1706089930731136e-11
core_liquid_pairs_sf0.35_pr0.010_h1_g0.05,core_liquid_pairs,0.35,0.01,1,0.05,0,5.346581216091833e-14,4.5803864066408535e-14,3.351671755921937e-11,1.1672548894692974e-10,-8.320877138771034e-11,668.0,-1.318414442438315e-10,5.941748636720926e-11,1.2040642069789384e-11,4.737684429741987e-11,89.0,-3.389463681328654e-11,-6.574509181056605e-11,2.5180996560956426e-11,-9.092608837152249e-11,168.0,-1.5848117828300005e-10,1.9193691984345506e-11
core_liquid_pairs_sf0.25_pr0.001_h5_g0,core_liquid_pairs,0.25,0.001,5,0.0,0,9.731104810839497e-14,2.6478819137309983e-14,5.1977272972808163e-11,1.5540157945675767e-10,-1.0342430648394951e-10,1051.0,-1.5819748036154046e-10,7.217873624862724e-11,1.662159154840755e-11,5.5557144700219684e-11,150.0,-4.875545417595203e-11,-1.494328655718898e-11,3.535976474982796e-11,-5.0303051307016906e-11,293.0,-1.5212849734561953e-10,1.911889766662152e-11
